뉴스제목,주가변동
정세균 황교안  신격호 빈소 방문  외국서 일군 성과  대단  종합 ,0
오쇼핑부문  셀렙샵  이른 봄 신상품 출시,0
 한국경제 거인 잃었다   정 재계  조문 행렬 ,0
 대통령  롯데  신격호 사후에도     가교 역할 해달라  주문 종합 ,0
  일  코스닥 기관 순매도상위에 반도체 업종  종목,0
CJ ENM  KC벤처스와 손잡고    억원 규모  K팝  펀드 조성,0
유료방송  강 재편   추가 M A 활발해질듯,0
 신격호 별세  재계  세대 마지막 별세에 곳곳서 애도 물결,0
 SS현장  신격호 롯데그룹 명예회장 별세에 롯데  삼남매 한 자리에,0
이재현 CJ 회장  신격호 회장 빈소 조문  경제성장 기여한 거인 잃어 ,0
 코스닥 마감 나흘만에 하락  이 호재에서 악재로,0
 시황종합  코스피     선 올라    또 최고가,0
 마감시황 코스피  외국인 매수에 상승     선 회복,0
 마감  코스피  외인  사자 에     선 회복,0
한국경제 큰 발자취  거인  타계 첫날 정 재계 조문행렬,0
 신격호 별세   거인을 잃었다  오후에도 이어지는 정 재계 조문,0
 현장   이재현 CJ회장  거인을 잃다  유통 거물들  조문 행렬 ,0
이재현 CJ그룹회장  경제성장에 기여한 거인 잃어 안타깝다 ,0
이재현 CJ 회장  우리나라 경제성장에 크게 기여하신 거인 잃어 ,0
이재현 CJ 회장  경제 성장에 이바지하신 분 잃게 돼 안타깝다 ,0
 마감시황 코스피  기관 매수에     선 회복  년 개월만에 최고치,0
 시황종합  코스피     선 회복 우한폐렴 공포에도 반등,0
 코스닥 마감      올라    선 회복 바이오주 껑충,0
 마감  코스피      선 회복  기관    거래일만에  사자 ,0
 TF시황   상승 곡선  국내 증시 현대차  매출    조 돌파에  급등 ,0
 오후시황  우환 폐렴 확산 우려에도  코스피     선 넘어,0
코스피  장 초반 기관 순매수에     선 회복  코스닥    가까이 상승,0
 신격호 별세   유통 거인이 졌다  각계각층 한 마음으로 애도,0
NH투자증권  CJ ENM  콘텐츠 미디어 사업 성장 기대 ,0
설 연휴  동심 책임질 대세 완구는 ,0
 누가 키운 아이돌인데  시위까지 나선 팬들  왜 ,0
코스닥    우한폐렴  우려에도 상승 제약  견인,0
 I 리포트  CJ ENM  콘텐츠 판매와 신사업 성장 주목  NH ,0
CJ ENM  콘텐츠 판매 신사업 성장 주목 NH,0
 클릭e종목  CJ ENM  올해 주가 키는 미디어 ,0
CJ ENM  콘텐츠 판매 신사업 성장 주목  NH투자증권,0
 마감시황  우한폐렴 에 주춤한 코스피     선 마감,0
 TF시황  국내 증시 하락 속 삼성바이오로직스  호실적에  상승 ,0
 코스닥 마감 투자 관망세에 약보합 기관 외국인  팔자 ,0
 시황종합  우한폐렴 우려 확산  코스피     선 후퇴,0
 마감  코스피  설연휴 전     선 후퇴  악재에 위축된 투심,0
CJENM   고스트시그널  등 귀성길  콘텐츠 총집합 ,0
 오후시황  코스피      선 내줘  설 연휴 전 투심 위축,0
