Date,Open,High,Low,Close,Volume,Change,Price
2020-01-20,157100,157200,154000,154300,67451,-0.014057507987220497,0
2020-01-21,154100,155200,152000,152200,63718,-0.013609850939727774,1
2020-01-22,152400,154300,152000,153800,69753,0.010512483574244502,0
2020-01-23,153000,153000,151000,151000,72924,-0.01820546163849157,0
2020-01-28,147900,148000,142300,142300,166959,-0.057615894039735105,1
2020-01-29,143500,143700,142200,142400,70741,0.0007027406886859211,0
2020-01-30,142500,143700,140000,141300,79527,-0.0077247191011236005,0
2020-01-31,141400,143100,138200,138200,91258,-0.021939136588818076,0
2020-02-03,134800,139700,134500,137600,94791,-0.00434153400868309,1
2020-02-04,139000,145700,138600,144000,110741,0.04651162790697683,1
2020-02-05,145100,147400,143800,144100,67602,0.000694444444444553,1
2020-02-06,146900,147500,144400,145700,55919,0.011103400416377474,0
2020-02-07,145300,146700,143800,144900,58945,-0.005490734385724116,1
2020-02-10,145500,151600,145000,148300,232419,0.02346445824706689,1
2020-02-11,151700,154600,150500,152800,172726,0.030343897505057393,0
2020-02-12,156200,156200,151000,151400,175308,-0.009162303664921434,1
2020-02-13,154100,177800,153100,164500,1421672,0.08652575957727882,0
2020-02-14,165400,165600,152800,152800,594427,-0.07112462006079023,1
2020-02-17,153900,158300,152400,153500,233219,0.0045811518324607725,0
2020-02-18,152300,154300,150600,150600,124200,-0.01889250814332244,0
2020-02-19,150600,152400,147500,147500,158256,-0.02058432934926957,0
2020-02-20,147000,147500,142500,142500,162034,-0.03389830508474578,0
2020-02-21,140500,142400,137800,138000,140920,-0.03157894736842104,0
2020-02-24,133700,136100,131500,131500,147450,-0.047101449275362306,1
2020-02-25,130000,136200,130000,134100,102384,0.019771863117870714,0
2020-02-26,130900,136600,130900,132800,90728,-0.009694258016405666,0
2020-02-27,132500,137600,131200,131300,104622,-0.011295180722891596,0
2020-02-28,129500,131300,125000,125800,126715,-0.041888804265041935,1
2020-03-02,126000,128400,125300,126000,84835,0.0015898251192367763,1
2020-03-03,129500,130500,127000,127000,65062,0.007936507936507908,1
2020-03-04,126500,129900,126200,129900,60165,0.022834645669291387,0
2020-03-05,131600,131600,129000,129600,80831,-0.002309468822170868,0
2020-03-06,128500,128500,125200,125200,85527,-0.03395061728395066,0
2020-03-09,122500,122500,110600,116600,141743,-0.06869009584664532,1
2020-03-10,114100,119900,114100,117000,162989,0.0034305317324185847,0
2020-03-11,116000,116500,110100,110700,152612,-0.05384615384615388,0
2020-03-12,109800,110000,102000,102900,243556,-0.07046070460704612,0
2020-03-13,92600,104000,92600,100100,273577,-0.027210884353741527,0
2020-03-16,100800,102100,97000,97000,130460,-0.03096903096903092,0
2020-03-17,92600,98000,91700,94000,131056,-0.030927835051546393,0
2020-03-18,94600,98400,90900,90900,150281,-0.03297872340425534,0
2020-03-19,92000,94300,80900,81500,215617,-0.1034103410341034,1
2020-03-20,82700,90700,82700,90700,150938,0.1128834355828221,0
2020-03-23,83100,86100,82300,83600,148040,-0.0782800441014333,1
2020-03-24,85500,92700,84700,91100,157604,0.08971291866028719,1
2020-03-25,98300,101100,94100,99500,186961,0.09220636663007675,0
2020-03-26,100600,102900,97000,99000,164132,-0.005025125628140725,1
2020-03-27,106000,106000,99300,100400,155877,0.014141414141414232,1
2020-03-30,98200,103100,95000,103000,95549,0.02589641434262946,1
2020-03-31,104500,105700,100100,104100,128036,0.010679611650485477,0
2020-04-01,101200,103500,98100,98100,113629,-0.057636887608069176,1
2020-04-02,98200,101200,97900,100300,81046,0.022426095820591296,1
2020-04-03,100600,102700,99400,101000,56244,0.006979062811565351,1
2020-04-06,100100,105500,100100,105300,97244,0.04257425742574261,1
2020-04-07,108400,111000,103900,105700,152195,0.003798670465337217,0
2020-04-08,105000,108500,103200,105000,100502,-0.0066225165562914245,1
2020-04-09,108000,108000,105000,106100,107993,0.010476190476190528,1
2020-04-10,106800,112500,105500,111900,176511,0.05466540999057501,0
2020-04-13,111800,111800,106400,106400,160973,-0.04915102770330648,1
2020-04-14,106900,109300,106500,107700,113871,0.012218045112782017,0
2020-04-16,105800,108900,105000,107300,120664,-0.00371402042711233,1
2020-04-17,109000,114700,109000,112500,219686,0.048462255358806994,0
2020-04-20,112900,113900,110600,111000,156031,-0.013333333333333308,0
2020-04-21,110700,110700,105800,107900,146114,-0.027927927927927976,1
2020-04-22,105500,113100,105300,112400,117525,0.0417052826691382,1
2020-04-23,111700,113600,110500,112700,86717,0.002669039145907437,0
2020-04-24,112700,112900,110400,110700,82120,-0.017746228926353136,1
2020-04-27,112000,119200,111900,117700,186639,0.06323396567299011,1
2020-04-28,118200,126500,116000,124400,301938,0.0569243840271878,1
2020-04-29,126500,132000,126400,127900,227360,0.02813504823151125,0
