뉴스제목,주가변동
현대상선 사명변경 속도  HMM  유력,0
현대상선  상반기 대졸 신입사원 공채,0
 기자의 눈  현대상선 사명변경에 거는 기대,0
경계 허물고 혁신의 폭 넓혀라   간판  바꾸는 기업들,0
재계는   중,0
재계는 간판교체    독한 변신  새출발,0
부산항 신항 서컨 운영권 협상시한 한 달 연장,0
HMM      억 수혈   정상화  출항 ,0
어려운 해운업황 속 투자 나서는 HMM  올해는 살아날까,0
외국인    거래일 연속 매도 끝 어떤 종목 사고 팔았나,0
사명 바꿔 달고 초대형 컨테이너선 투입하는  HMM ,0
바다의    도 몰랐는데 바다유니콘  증권맨,0
유동성 리스크 높은 기업은,0
 특징주  해운주  정부 긴급지원에 강세,0
대한항공  조원 수혈  공공차량     대 조기 구매,0
세계 최대 컨테이너선 인도 조선 해운  부활 기대 ,0
 특징주  문재인 대통령  세계 위 해운강국 도약  천명  해운사  강세,0
 특징주  정부  HMM 에만     억 지원  기대효과 지속  강세 ,0
  대통령  해운강국  천명  팬오션 등 강세,0
 특징주  해운 관련주  정부 지원 소식에 강세,0
 기름  억 원어치  세계 최대 컨선 급유에 당황한 부산항,0
 르포   아파트    층 길이  세계 최대 컨테이너선 알헤시라스호 입항 현장 가   ,0
세계 최대 컨테이너선  알헤시라스호  부산항 입항,0
출항 앞둔 세계 최대 규모 컨테이너선  알헤시라스호 ,0
출항 앞둔 세계 최대 규모 컨테이너선  알헤시라스호 ,0
해운 재건 넘어 글로벌 해운 강국으로 기고 문성혁 ,0
 하팍로이드 메가  컨 선 발주 연기   디얼라이언스 내 HMM 위상 강화 ,0
사모펀드 IMM  대기업 지정  카카오 넷마블 IT기업 약진,0
HMM  알헤시라스  해운산업 재건 나섰다,0
 공격 경영  카카오  계열사   개 늘렸다,0
문성혁 해수부 장관  한진해운 파산 후 잃어버린 항로 신뢰 찾아가는 중 ,0
대기업집단에 사모펀드 첫 지정    곳 작년 순이익은 반토막,0
대기업 순위 변화 감지 IT  뜨고  중후장대  지고 ,0
 시어머니만 하나 더  사모펀드에  재벌규제  칼날 들이댄 공정위,0
대기업 순위 지각변동  코로나 쇼크  전에도 순익 반토막,0
자산  조원 이상 그룹 작년 순익 반토막  반도체 석유화학 부진 탓,0
 아시아초대석 배재훈 HMM사장  초대형    코로나    헤쳐나갈 병기 ,0
 아시아초대석  포스트 코로나  리쇼어링 공급망 다변화 시작 ,0
컨테이너선 세계 최다 선적량 기록 HMM이 깼다,0
HMM  상승흐름 전일대비           최근 주가 상승흐름 유지,0
 fnRASSI HMM        오르며 거래량 증가,0
 HMM     이상 상승  전일 외국인 대량 순매수,0
출항과 동시에 세계신기록   HMM 알헤시라스호   해운재건  개막,0
 클린리더스  새 사명으로 새 출발한 HMM  사회적 책임도 적극 수행 ,0
HMM 알헤시라스호  세계 최대 선적량 기록,0
머니투데이 오프라인 헤드라인   일자,0
어린이 상선 체험  산불 피해 지역에 컨테이너박스 지원   해운업 특성 살린 HM   ,0
한진칼 아시아나항공 등   종목 코스피    편입,0
 새로운 주도주  언택트 바이오 코스피    KRX    대거 편입,0
한진칼 등   개 종목  코스피   에 새로 편입,0
