Date,Open,High,Low,Close,Volume,Change,Price
2020-01-20,3715,3735,3645,3650,873145,-0.025367156208277675,0
2020-01-21,3685,3685,3545,3565,744621,-0.023287671232876672,1
2020-01-22,3560,3585,3470,3585,1104399,0.005610098176718203,1
2020-01-23,3570,3675,3560,3635,561275,0.013947001394700065,0
2020-01-28,3500,3545,3435,3475,1518192,-0.044016506189821225,1
2020-01-29,3525,3565,3495,3500,744188,0.007194244604316502,0
2020-01-30,3520,3570,3480,3500,559778,0.0,0
2020-01-31,3455,3525,3455,3475,639462,-0.0071428571428571175,0
2020-02-03,3435,3435,3340,3400,1032561,-0.021582733812949617,1
2020-02-04,3400,3530,3400,3475,574954,0.022058823529411686,1
2020-02-05,3530,3545,3490,3520,396345,0.012949640287769792,1
2020-02-06,3520,3580,3520,3530,582315,0.0028409090909091717,0
2020-02-07,3540,3555,3485,3525,416722,-0.0014164305949008194,1
2020-02-10,3520,3720,3505,3710,1144368,0.052482269503546064,1
2020-02-11,3710,3865,3710,3800,1925391,0.0242587601078168,1
2020-02-12,3830,3850,3725,3820,957511,0.0052631578947368585,0
2020-02-13,3820,3830,3750,3815,602701,-0.0013089005235602524,1
2020-02-14,3815,3850,3760,3825,907607,0.002621231979030192,1
2020-02-17,3865,4020,3810,3980,2545266,0.04052287581699354,0
2020-02-18,3960,3960,3835,3860,1255162,-0.03015075376884424,0
2020-02-19,3850,3850,3685,3710,1324618,-0.03886010362694303,0
2020-02-20,3680,3755,3590,3625,1253935,-0.022911051212938016,0
2020-02-21,3580,3620,3475,3500,1642334,-0.03448275862068961,0
2020-02-24,3385,3420,3335,3345,1838543,-0.04428571428571426,1
2020-02-25,3305,3415,3305,3395,1625635,0.014947683109117982,0
2020-02-26,3360,3395,3325,3380,1165749,-0.004418262150220897,0
2020-02-27,3375,3445,3340,3340,1114852,-0.011834319526627168,0
2020-02-28,3330,3330,3215,3255,1538226,-0.025449101796407136,1
2020-03-02,3220,3320,3220,3320,1120832,0.019969278033794113,1
2020-03-03,3385,3465,3375,3405,1169853,0.025602409638554313,1
2020-03-04,3385,3535,3355,3525,883729,0.03524229074889873,1
2020-03-05,3545,3745,3535,3730,1721638,0.0581560283687943,0
2020-03-06,3670,3805,3605,3670,1564936,-0.01608579088471851,0
2020-03-09,3610,3635,3395,3450,1951088,-0.05994550408719346,0
2020-03-10,3395,3475,3335,3430,1904808,-0.005797101449275366,0
2020-03-11,3460,3555,3375,3430,1119481,0.0,0
2020-03-12,3310,3390,3260,3275,1790039,-0.04518950437317781,0
2020-03-13,2995,3120,2905,3060,3964328,-0.06564885496183204,0
2020-03-16,3145,3210,2975,2990,1815097,-0.022875816993464082,1
2020-03-17,2805,3030,2805,3000,1650696,0.0033444816053511683,0
2020-03-18,3040,3095,2825,2825,1617712,-0.05833333333333335,0
2020-03-19,2825,2890,2250,2325,4066380,-0.17699115044247793,1
2020-03-20,2360,2500,2245,2425,3836779,0.043010752688172005,0
