Date,Open,High,Low,Close,Volume,Change,Price
2020-01-20,7460,7490,7370,7430,23877,-0.004021447721179627,1
2020-01-21,7420,7480,7370,7480,140148,0.006729475100942128,0
2020-01-22,7430,7510,7330,7480,32026,0.0,0
2020-01-23,7390,7480,7360,7400,20836,-0.010695187165775444,0
2020-01-28,7280,7310,7100,7220,55140,-0.024324324324324298,1
2020-01-29,7140,7290,7140,7250,25449,0.0041551246537396835,0
2020-01-30,7250,7250,7100,7140,25171,-0.015172413793103412,0
2020-01-31,7110,7130,6980,6980,39902,-0.022408963585434205,1
2020-02-03,6950,7100,6900,7030,26253,0.007163323782235054,0
2020-02-04,7070,7090,7000,7000,12482,-0.004267425320056861,1
2020-02-05,7000,7690,6980,7410,248824,0.0585714285714285,1
2020-02-06,7410,7800,7410,7630,113336,0.029689608636977116,0
2020-02-07,7780,7780,7590,7630,35940,0.0,0
2020-02-10,7650,7740,7410,7630,88800,0.0,1
2020-02-11,7630,7730,7620,7710,76079,0.010484927916120546,0
2020-02-12,7780,7780,7630,7690,48027,-0.0025940337224383825,0
2020-02-13,7690,7730,7580,7690,32077,0.0,1
2020-02-14,7680,7720,7550,7700,36813,0.0013003901170351995,1
2020-02-17,7700,7800,7570,7770,76276,0.009090909090909038,0
2020-02-18,7780,7780,7660,7690,19201,-0.01029601029601035,0
2020-02-19,7720,7730,7620,7650,27520,-0.005201560468140465,1
2020-02-20,7650,7770,7630,7670,63735,0.002614379084967311,1
2020-02-21,7670,8000,7600,7970,220642,0.039113428943937434,0
2020-02-24,7930,7930,7620,7740,132372,-0.02885821831869506,1
2020-02-25,7720,7890,7620,7810,65579,0.009043927648578753,1
2020-02-26,7810,7920,7710,7840,131674,0.003841229193341844,1
2020-02-27,7840,7880,7750,7880,88858,0.005102040816326481,0
2020-02-28,7880,7880,7440,7630,62569,-0.03172588832487311,1
2020-03-02,7560,7740,7470,7690,41490,0.007863695937090354,0
2020-03-03,7700,7750,7610,7680,58729,-0.0013003901170350884,1
2020-03-04,7610,7800,7610,7780,30071,0.01302083333333326,1
2020-03-05,7810,7970,7760,7930,64520,0.019280205655527016,1
2020-03-06,7930,7970,7860,7950,86064,0.0025220680958386588,0
2020-03-09,7900,7910,7680,7900,103828,-0.0062893081761006275,0
2020-03-10,7700,7850,7650,7700,85006,-0.025316455696202556,0
2020-03-11,7630,7820,7520,7550,93276,-0.01948051948051943,0
2020-03-12,7610,7610,7160,7260,113607,-0.03841059602649011,0
2020-03-13,6700,6990,6410,6900,190104,-0.04958677685950408,0
2020-03-16,7050,7050,6610,6650,72565,-0.036231884057971064,0
2020-03-17,6400,6750,6300,6520,47102,-0.019548872180451093,0
2020-03-18,6480,6860,6350,6350,67450,-0.0260736196319018,0
2020-03-19,6350,6370,5300,5680,128546,-0.10551181102362206,1
2020-03-20,5910,5950,5500,5940,84761,0.045774647887323994,0
2020-03-23,5510,5880,5510,5640,49897,-0.0505050505050505,1
2020-03-24,5700,5900,5640,5880,95048,0.042553191489361764,1
2020-03-25,5890,6280,5890,6120,46503,0.04081632653061229,1
2020-03-26,6230,6390,6120,6270,47586,0.02450980392156854,1
2020-03-27,6390,6450,6270,6370,57419,0.01594896331738438,1
2020-03-30,6440,6440,6190,6400,29592,0.0047095761381474865,1
2020-03-31,6500,6800,6440,6640,40504,0.03750000000000009,1
2020-04-01,6640,6760,6500,6650,28664,0.001506024096385561,0
2020-04-02,6600,6660,6510,6600,24267,-0.007518796992481258,1
2020-04-03,7050,7050,6650,6760,32222,0.024242424242424176,1
