뉴스제목,주가변동
 드림즈 인형  나온다 SK스토아  드라마  스토브리그  굿즈 단독 출시,0
일화 맥콜 골프단  KLPGA 김효문 손주희 프로 입단식 개최,0
  스타전략  골디락스   뜨겁지도 차갑지도 않다,0
SK스토아   스토브리그  드림맨 인형 머그컵 사세요 ,0
SK스토아  인기 드라마  스토브리그  굿즈 단독 판매,0
기준시가  억 넘는  주택자가 소유주택  반전세 시 임대소득세,0
전 세계 인사가 한 곳에 긴장감 도는 다보스 포럼,0
영등포역 옆 쪽방촌  만   임대주택 등     호 짓는다,0
신격호 사망으로  창업  세대  마침표  세대 상황은 ,0
  신격호   위 안주 말고 글로벌 롯데 만들어야 ,0
 현장연결  신격호 조문 김상조  롯데  한일 민간외교 역할 당부 ,0
스마트폰 사령탑에   대 노태문 발탁  인 대표이사 유임,0
경찰  배드파더스 폭행영상 지워달라  소방서장 폭행 수수방관,0
카카오  한진칼 지분   대 매입 경영권 분쟁 참여하나,0
소재부터 생산까지 LG화학  배터리  주도권 확보  가속,0
전기차  성능 주행거리 나쁘면 보조금 확 깎는다,0
 현장연결  신동빈 신동주 함께 조문객 맞아  교감 있었을 듯 ,0
국내  코로나 감염증 첫 확진 환자 위기경보 주의 상향,0
 서울 아파트 상위      매매 평균가   억 원 돌파 ,0
영등포 쪽방촌  새롭게 태어난다 상생   개선안 발표,0
소니 무선 이어폰 써보니 소음 완벽차단  소니  소  름  ,0
 현빈이 찬 시계 뭐지   인기 드라마 PPL 효과 ,0
재계  대외창구 수장에 언론인 출신 전진배치  눈길 ,0
  스타전략  뉴욕 증시 신고가 행진 지속  공격적인 매매전략 유지,0
사외이사  년 임기제한 다음 달 시행   대기업들  올해 주총서   명 교체해야,0
  주년 맞은 다보스포럼 낙관주의 보다  우려감  팽배,0
하나금투 vs 신한금투 초대형 IB  누가 먼저될까 ,0
 조금만 주셔도 좋아요  작아도 만족스러운 설 선물,0
 포장상자도 봐주세요  설 선물도  친환경  바람,0
 현장연결  신격호 빈소  이명희 구광모 등 각계 인사 조문,0
   한남 구역 사업촉진비 무혐의 국토부  무효 가능해 ,0
공정경제  법 국무회의 의결 사외이사   년 임기제한 ,0
설 연휴     만명 이동      일 혼잡 예상,0
금융정보도  사고판다   데이터 거래소   월 개장,0
 현장연결  신격호 빈소  이명희 구광모 등 각계 인사 조문행렬,0
한국노총   대 위원장에 김동명   노총 지위 회복할 것 ,0
삼성 금융CEO    대 사장  세대교체 쇄신인사 단행,0
 행복가득 미래설계  회  꼬박꼬박 준비한 신혼집 마련자금이 반토막났다  예비신부   ,0
 반전세라도 살아야지  전세대출 금지에 세입자  울상 ,0
현대차 노사  그랜저 증산 논의 시장 대응력 높인다,0
태영건설  지주회사 체제로 전환한다,0
곱창이야기  스토브리그 제작지원 PPL 효과  톡톡 ,0
  스타전략  기관들의 매도는 아직도 ,0
작년 부동산 허위매물   만 건 신고 용인시 최다,0
다보스포럼서  기후변화  놓고 트럼프 vs 툰베리 설전,0
현대차그룹  작년 이익 급증  신차 SUV  효과,0
전체소득은 늘어도 대 중소기업 임금 격차 더 커졌다,0
 채용비리  조용병 신한금융 회장 법정구속 면했다,0
 단독  사업촉진비 들여다본다 옥수 한남하이츠도 사정권,0
신격호 마지막 길 신동빈  아버지 떠올리며 길 찾겠다 ,0
우리은행  내부통제 준수 못했다고 행장 제재 과도  소명,0
신종 코로나 바이러스 확산에 항공업계도  빨간불 ,0
현대차  매출    조원 돌파 기아차 영업익       개선,0
  억원 이상  단독주택  공시가격 많이 올랐다,0
나랏돈 풀어 간신히 지킨    성장률   년 만에 최저,0
대리운전자   명 중   명  과속주행  안전 대책 필요성,0
작년 경제    성장 홍남기  심리적 마지노선 지켰다 ,0
한국해양과학기술원   나무반출  해양과학기술원장 재심 요청,0
삼성전자 두번째 폴더블폰  갤럭시Z플립  예상 가격은 ,0
 단독  국토부  한남하이츠 수주도 조사검토 위법땐 입찰 무효도,0
 마켓인사이트  국민연금   월 주총  힘 자랑 하나,0
오후      현재 코스피는      으로 매수우위  매수강세 업종은 운수창고업    ,0
우한 코로나   치명적 폐 손상  확인   보고서 입수,0
올해도 뜨거운 글로벌 증시 설연휴 주식 직구 해볼까 ,0
이젠 적금도  소확행       겨냥한 상품 눈길,0
경자년  기업들  쥐띠 CEO 와   세 가 이끈다,0
 단독  라임 대신 반포점  환매연기 발표 직전 사전 환매작업,0
신종 코로나  중국 확진자    명 넘어   명은 위중,0
엘리엇  전쟁선포   개월만에  백기  현대차 구상 탄력,0
트럼프 대통령  깜짝 기자회견  WTO 개혁안 논의할 듯,0
국토부  전봇대 점용료 인상 추진 전기 통신료 오르나,0
새해 내집마련  주택대출은   고정        가장 저렴,0
삼성전자 조직개편 마무리 이재용  새해 첫 해외행보 브라질,0
엄포 통했다 서울 강남 구 집값  개월 만에 일제히 하락,0
태영건설 인적분할 지주사 체제로  저평가 자회사들  히든 밸류  부각,0
 태영건설 분할 후 시가총액     늘어날 것 ,0
고덕 아르테온 조합장 수고비   억 요구  없던 일로 ,0
     억 내놔라  못준다  개포주공  단지에 무슨일이 ,0
두타면세점 오늘 문 닫는다    여명 직원들 어디로 ,0
삼성 LG  탈LCD  가속 차세대 디스플레이에 힘 준다,0
실적 좋은데   우한폐렴 불똥  미디어  사도 될까,0
SBS콘텐츠허브  특별관계자 지분변동,0
 유증상자  우한 교민도 전세기 탄다 격리수용 장소는 ,0
지난해 위조지폐    장 발견  오만 원권   장,0
불공정 여부 심사 착수 대한항공 마일리지 개편 제동 걸리나,0
차기 우리은행장  파전 최종후보 결정   일로 연기,0
우여곡절 끝 취임 윤종원 혁신금융 노조관계 최대 과제,0
서울  만가구 입주 전셋값  요요현상  되풀이 될라,0
  대 직장인이 수십억 아파트 주인  국세청 자금출처 조사,0
결제하는 사이 오른 마스크 가격 수요급증에 판매자 폭리 ,0
신종 코로나 검사 진료비  국가가      부담한다,0
우한 교민들  아산 진천에 격리 무증상자 우선 이송,0
신종 코로나 확산 초비상 금융시장도  불안불안 ,0
집값에 떠밀려 서울 피해 경기도로 인구  대거유입 ,0
르노 경영진 교체 르노삼성도 노사관계 정상화 모색,0
소비자 기업심리 겨우 개선됐는데 신종 코로나에 제동 걸리나,0
중국 현지공장 가동  중단  항공기도 운항중단 속출,0
상승 마감한   증시 신종 코로나 회복세 보이나 ,0
국내 증상자   명 검사 중 우한 교민 아산 진천에 격리수용,0
 풀영상   신종 코로나  접촉자    명으로 늘었다   명 검사 중,0
  스타전략  나스닥 신고가가 형성된 가운데  ,0
한국대중문화예술원  한류인재양성프로젝트 연기자 부문  기생 모집,0
마스크  가격 폭등  막는다 매점매석 땐  년 이하 징역,0
유나이티드제약  전일대비      상승중    이평선 역배열 상황에서 반등 시도,0
  기업  복귀 안 하면 불이익    직원  차라리 사표 ,0
백화점   일 동시 휴점 문화센터도 줄줄이 폐강,0
크루즈 타고   만 명  입국 항공기보다  감염 취약 ,0
카톡으로 주식 사고판다 카카오 등장에 증권업계  촉각 ,0
우리   고객 비밀번호 무단도용  정보유출 금전피해 없어 ,0
행복주택을 에어비앤비로  불법전대 돈벌이 ,0
마스크 안 오는데 취소 불가 배송비로  바가지 상술 ,0
동남아 여행도 꺼려지는데  위약금 내야 환불 ,0
확진자  명 추가   번 환자 딸은 첫 병원 내 감염자,0
신종코로나 확진자 오늘 첫 퇴원 두번 째 퇴원자도 나올 듯,0
 키코 배상  이틀 앞 신한 하나  결정시한 미뤄달라 ,0
삼성 준법감시위 첫 회의 봉욱 전 검사장  감시 최선 ,0
이르면 금주 자동차부품 조달대책 마스크 매점매석도 금지,0
신종 코로나 확진자 오늘  최초 퇴원  앞으로 관리는 ,0
상승세 탄 코스피      선 안착 코로나 악재 진정세,0
 DLF 중징계  이후 하나카드의 운명은 ,0
우리금융  금융위 결정까지 판단유보 손태승 체제 일단 유지,0
조현아 흔적 지우는 조원태  사업매각 지배구조 개선 ,0
 단독 하나은행  투자     억원 손실 처리,0
추워서 더 기승  신종 코로나  손 마스크만 기억하세요,0
신종 코로나 언제쯤 꺾일까   따뜻해진  월쯤 둔화 ,0
중국인 확진자 오늘 퇴원 예정  번 확진자와 같은 치료제 써,0
 제  국서 감염  사례 속속 나와 확진자 동선은 ,0
서울 아파트값  강남권 하락세 수원 용인 상승세 지속,0
ESS 화재사고 조사단  배터리 결함  지목 업계 반박,0
조원태  반격 나섰다  사업 매각 및 지배구조 개선 ,0
 경영상 사유 로   부품업체에 특별연장근로 첫 인가,0
신종 코로나 확진자  명 추가  번 확진자는 완치 판정,0
작년 경상수지 흑자폭  년만에  최저  수출부진 영향,0
 조원태  주주 표심 잡아라  대한항공 경영쇄신안 발표,0
국세청  지능적 탈세 막는다  부동산 탈루 전담팀 구성,0
우리은행 직원들  실적 올리려고 고객 비밀번호 바꿨다,0
특별연장근로  경영상 사유  첫 인가여부 오늘 결정,0
   하루에   명 넘게 죽었다 사망    명 확진    만명,0
 신종 코로나  국내 확진자   명    차 감염 잇따라,0
손태승  사퇴냐 연임강행이냐 퇴임땐 회장 행장 공석,0
한국재무설계  재무설계 전문가 채용을 위한 사업설명회 개최,0
 중국 방문력  상관없다 의사가  신종 코로나 검사  판단,0
 필살기 고수외전 시즌   열기를 더해가는 화제의 투자전략  다음 소확주는 ,0
  스타전략  우한 폐렴 진정세에 코스피     선 회복,0
금감원  키코 배상 결정 시한  월  일까지  연장 ,0
확진자 동네 거친  택배  통해 신종 코로나 감염될까 ,0
포드 벤츠 헌액된  자동차 명예의 전당   정몽구 회장 오른다,0
현대차 공장  올스톱    부품공장 일부는 시험가동,0
현대 기아차 중국법인   일부터 공장 재가동,0
신종 코로나 피해 중기 소상공인   조원  금융지원,0
우한 교민  명 추가 확진 아산 임시생활시설  차분 ,0
  번 확진자 다녀간  롯데 백화점 이마트  임시휴점,0
분양가 상한제  아슬아슬  강남권 재건축 조합 속도전,0
키코 배상 은행들  다시  배상 결정시한 미뤄달라 ,0
한진  경영 투명성  재무구조 개선 사업 경쟁력 강화 ,0
마스크 밀수출 매점매석 판치자  생산 수출량 매일 신고 ,0
신종 코로나 검사 빨라진다 하루      건 가능,0
  번째 확진자 다녀간 백화점 마트  임시휴업 ,0
판 커지는 금융업 SKT 현대차   인터넷 보험  진출한다,0
현대홈쇼핑의 장난   새벽  시에 마스크 판다더니 불통 ,0
 단독    순위로 당겨줘  라임자산운용 부실 알았나 ,0
SK루브리컨츠  아세안 시장 공략 베트남 윤활유 업체 투자,0
 주간    만명 찾아간  잊힌 돈  휴면자산 조회법은 ,0
이통 사  신규 스마트폰 사전 예약  주일로  축소 ,0
  년 만에 노조 생긴 삼성화재 시작부터 공개비방  잡음 ,0
 단독  신종 코로나 마스크 대란에 숨 못쉬는 저소득층,0
코로나 직격탄 맞은 여행업계 정부에 자금지원 SOS 요청,0
신종 코로나   번 환자 오늘 퇴원 퇴원환자 총  명으로,0
 차 전세기 내일 출발 이천 국방어학원에 머물 예정,0
 신종 코로나  추가 확진자 없어    명 검사 중,0
 년 만에  세수 결손  경기 부진에 법인세 목표치 미달,0
신종 코로나 퇴원자  명 추가   번째 확진자   남성,0
코로나 마스크 대란에  저소득층 지원용 아예 못 구해 ,0
 공시  마이크로텍     억원  비밀의숲   공급계약  작년 매출      규모   ,0
라임자산 회수율        무역금융펀드 관련 수사 의뢰,0
 백화점 판매원도 근로자  계약만료 사유로 해고 안돼,0
노태문  갤럭시 새로운   년 시작 업계 판도 바꿀 것 ,0
작년 세수     조 덜 걷혔다 경기 부진 영향,0
한국  물가상승률 OECD 최하위권   위   위로 추락,0
국민연금    개사 주식 보유목적  단순투자 일반투자  변경,0
  스타전략  수급 불안이 지속되는 가운데   ,0
방송 광고매출 SBS MBC CJ KBS 순,0
한국재무설계  SBSCNBC  우리 집 가계부를 부탁해  머니수사대 공개 모집,0
유료방송 가입자  명 중  명 IPTV 이용 케이블TV는 감소세,0
타다  불법 딱지 뗐지만 앞으로도 산 넘어 산,0
수용성만 잡으면 끝   오동평 남산광  제 풍선효과 우려,0
금융상품 불완전판매 시 수익     과징금 물린다,0
 단독  우리은행   라임펀드  투자자 성향 임의로 조작했다,0
비상넘어  초비상  경영 항공업계 구조조정 가속화되나,0
정몽구 회장  이사회 의장 물러난다 후임 인선은 불투명,0
확진자  명만 와도 교회 같은 사각지대 더 있나,0
   지역 방어막 구축 필요해  대응책 달라지나 ,0
 부고 엄형섭 전 포스코 이사보 씨 모친상,0
SK하이닉스에서 코로나   감염 의심자  명 발생,0
확진자   명 추가  지역사회 감염 가능성 있어 ,0
코로나 직격탄 맞은 기업들  수출기업 긴급 유동성 공급 ,0
라임사태 수사 속도낸다 라임 신한금투  압수수색 ,0
정몽구 회장  이사회 의장 물러난다,0
확진자 하루만에   명 추가 첫 미성년자 확진자도 나와,0
유료방송 가입자 절반은 IPTV 이용 CJ 방송채널 제공 매출  위,0
  스타전략  지수 예상 지지선 찍고 터닝   핵심섹터 관심주 매수,0
SBS  코오롱 인보사  연속 보도  한국기자상 수상,0
수원  구 등 조정지역 추가 또 다른 풍선효과 조짐 ,0
수도권 집값 과열에 LTV 규제 강화 돈줄 더 조인다,0
 호흡기 의료진  보호 장비 착용  병원 내 감염 예방,0
 대구 연결  음압병상 확보 비상  외출 자제해달라 ,0
작년  분기 가계소득 늘고 불평등 개선 자영업자 타격 여전,0
응급실 줄줄이 폐쇄 중증 환자는 어디로 가나,0
경영권 분쟁  한복판  한진칼 현재까지 지분율 판도는 ,0
 문화현장  라듐의 발견 그리고 고뇌  마리 퀴리 ,0
전북에 과천까지  코로나   전국 확산 우려 커져,0
코로나   확진자  폭증  경제 주름살도 깊어진다,0
