Date,Open,High,Low,Close,Volume,Change,Price
2020-01-20,22600,22850,20750,21850,152709,-0.03532008830022071,0
2020-01-21,21850,22300,21600,21800,73092,-0.0022883295194507935,0
2020-01-22,21700,21950,21200,21650,86060,-0.006880733944954143,0
2020-01-23,21800,21800,20350,20650,225487,-0.04618937644341803,0
2020-01-28,20050,20400,19100,19950,94787,-0.03389830508474578,1
2020-01-29,20150,20950,20000,20550,75061,0.03007518796992481,0
2020-01-30,20450,20900,19550,19850,150188,-0.03406326034063256,1
2020-01-31,21350,22200,21150,21900,442846,0.10327455919395456,1
2020-02-03,21700,23800,21150,23800,320399,0.08675799086757996,1
2020-02-04,23600,24100,23150,24050,86400,0.010504201680672232,1
2020-02-05,24400,26000,24350,25900,482733,0.07692307692307687,0
2020-02-06,25600,26050,24450,25600,205208,-0.01158301158301156,0
2020-02-07,25250,25550,24350,24700,133497,-0.03515625,0
2020-02-10,24450,24450,23250,23750,215940,-0.038461538461538436,0
2020-02-11,23550,23900,23000,23150,145083,-0.025263157894736876,1
2020-02-12,23150,24200,22800,23550,305610,0.017278617710583255,1
2020-02-13,23600,24050,22750,23700,335828,0.006369426751592355,1
2020-02-14,23700,24600,23350,24450,142158,0.03164556962025311,1
2020-02-17,24750,25150,24300,24900,127617,0.018404907975460016,1
2020-02-18,25000,25200,24450,25000,97193,0.004016064257028162,1
2020-02-19,25000,25650,24850,25200,171014,0.008000000000000007,0
2020-02-20,25450,25450,24250,24650,143317,-0.02182539682539686,0
2020-02-21,24500,24700,23650,23800,137317,-0.03448275862068961,0
2020-02-24,23100,24150,22900,23400,124607,-0.01680672268907568,1
2020-02-25,23350,23800,23000,23700,61280,0.012820512820512775,0
2020-02-26,23500,23700,22750,23200,159743,-0.021097046413502074,0
2020-02-27,23200,23950,23150,23200,104978,0.0,0
2020-02-28,23000,23000,21450,21600,195806,-0.06896551724137934,1
2020-03-02,22000,22300,20950,22000,132394,0.0185185185185186,1
2020-03-03,22700,23250,22600,22700,89895,0.031818181818181746,0
2020-03-04,22500,22900,22200,22700,64795,0.0,0
2020-03-05,22700,22950,21950,22500,93782,-0.008810572687224627,0
2020-03-06,22350,22350,21050,21800,152283,-0.03111111111111109,0
2020-03-09,21400,21500,20300,20950,141262,-0.03899082568807344,0
2020-03-10,20750,20750,20200,20700,79763,-0.011933174224343701,0
2020-03-11,20700,20700,19550,19600,87411,-0.0531400966183575,0
2020-03-12,19250,19350,17350,17950,223992,-0.08418367346938771,0
2020-03-13,16200,16550,14650,15700,395658,-0.12534818941504178,0
2020-03-16,16200,16450,15050,15100,213474,-0.03821656050955413,0
2020-03-17,14100,15200,14100,14900,146552,-0.013245033112582738,1
2020-03-18,15100,16450,15100,15300,247966,0.02684563758389258,0
2020-03-19,15750,16000,14150,14600,203284,-0.04575163398692805,1
2020-03-20,15000,15800,14800,15200,196945,0.041095890410958846,0
2020-03-23,14350,14700,13500,13550,208894,-0.10855263157894735,1
2020-03-24,13950,14800,13500,14550,208902,0.07380073800738018,1
2020-03-25,15150,15800,14800,15600,169471,0.07216494845360821,1
2020-03-26,15500,16800,15100,16100,155342,0.03205128205128216,1
2020-03-27,16600,17250,15600,17250,152514,0.0714285714285714,1
2020-03-30,16950,17400,16500,17350,123563,0.005797101449275255,0
2020-03-31,17550,17600,16500,16800,158434,-0.03170028818443804,0
2020-04-01,16700,17150,16300,16550,124699,-0.014880952380952328,1
2020-04-02,16550,16750,16100,16750,121284,0.012084592145015005,1
2020-04-03,16650,16950,16200,16950,121724,0.011940298507462588,1
