Date,Open,High,Low,Close,Volume,Change,Price
2020-01-20,29300,29700,28800,29150,17700,-0.005119453924914641,0
2020-01-21,29050,29250,28400,28950,29138,-0.006861063464837058,0
2020-01-22,28750,29000,28500,28950,16477,0.0,0
2020-01-23,29000,29000,28450,28450,12217,-0.01727115716753025,0
2020-01-28,28100,28100,27250,27550,12396,-0.03163444639718804,0
2020-01-29,27600,28000,27200,27200,6779,-0.012704174228675091,0
2020-01-30,27450,27550,26600,26700,23121,-0.018382352941176516,1
2020-01-31,26700,27200,26500,27200,17079,0.01872659176029967,1
2020-02-03,26550,27900,26550,27850,9968,0.023897058823529438,0
2020-02-04,27850,28000,27450,27800,5117,-0.0017953321364452268,1
2020-02-05,28100,28400,27800,28250,5379,0.01618705035971213,0
2020-02-06,28550,28550,27900,27900,7583,-0.012389380530973493,0
2020-02-07,28450,28450,27550,27600,1800,-0.010752688172043001,1
2020-02-10,27900,28700,27250,28350,18505,0.02717391304347827,1
2020-02-11,28500,30450,28000,30050,53275,0.059964726631393406,0
2020-02-12,29850,29950,28700,29300,51359,-0.024958402662229595,1
2020-02-13,29300,30500,29150,29700,50975,0.013651877133105783,0
2020-02-14,29500,29750,29300,29350,13790,-0.011784511784511786,0
2020-02-17,29650,29650,29200,29350,6900,0.0,1
2020-02-18,29800,29800,29200,29700,20132,0.011925042589437718,0
2020-02-19,29700,29700,28800,29650,23928,-0.0016835016835017313,0
2020-02-20,29200,29650,29050,29500,10632,-0.005059021922428353,0
2020-02-21,29400,29600,28600,29500,22628,0.0,0
2020-02-24,28750,29700,28050,28950,22752,-0.01864406779661021,1
2020-02-25,29050,29850,28000,29700,50808,0.02590673575129543,0
2020-02-26,29550,29550,28450,28800,40668,-0.030303030303030276,0
2020-02-27,28950,28950,27600,28800,57748,0.0,0
2020-02-28,28750,28750,27450,27700,31537,-0.03819444444444442,0
2020-03-02,27350,28100,26950,27100,28538,-0.02166064981949456,0
2020-03-03,27400,27700,26000,26400,49923,-0.02583025830258301,1
2020-03-04,26100,27200,26100,27100,15158,0.026515151515151603,1
2020-03-05,26950,28150,26900,28050,16666,0.035055350553505615,0
2020-03-06,27950,28200,27450,27850,13532,-0.007130124777183555,0
2020-03-09,27850,27950,27350,27800,25186,-0.0017953321364452268,0
2020-03-10,27550,27950,27200,27800,9388,0.0,0
2020-03-11,27800,27900,27150,27650,21029,-0.0053956834532373765,0
2020-03-12,27000,27150,25500,25950,19835,-0.061482820976491825,0
2020-03-13,24750,25900,21750,25000,38740,-0.036608863198458574,0
2020-03-16,25100,25850,22600,24800,105785,-0.008000000000000007,0
2020-03-17,24050,24450,22500,24150,31441,-0.02620967741935487,0
2020-03-18,24100,24950,23050,23750,34638,-0.0165631469979296,0
2020-03-19,23700,23750,19900,20450,72605,-0.1389473684210526,1
2020-03-20,20450,22400,19850,21750,21485,0.0635696821515892,0
2020-03-23,21600,21600,19900,20700,14739,-0.0482758620689655,1
2020-03-24,21050,21800,20550,21500,32134,0.03864734299516903,1
2020-03-25,22300,23000,21350,22550,13416,0.04883720930232549,0
2020-03-26,22550,23250,21850,21950,22407,-0.026607538802660757,1
2020-03-27,22350,23700,22150,22900,30310,0.04328018223234631,1
2020-03-30,23000,24300,22600,23450,17309,0.024017467248908186,1
2020-03-31,24300,25250,24200,25100,24175,0.07036247334754808,0
2020-04-01,25100,25850,24350,25100,18255,0.0,1
2020-04-02,24950,25700,24300,25300,8795,0.007968127490039834,1
2020-04-03,25450,25900,25000,25900,8772,0.02371541501976293,1
2020-04-06,26350,26600,25750,26000,17273,0.0038610038610038533,0
2020-04-07,26550,26550,25800,25950,21034,-0.0019230769230769162,1
2020-04-08,25950,26700,25950,26550,10627,0.023121387283236983,0
2020-04-09,27000,27000,26050,26400,14227,-0.005649717514124242,1
2020-04-10,26400,27300,26100,27300,30535,0.03409090909090917,0
2020-04-13,27300,27500,26000,26300,28238,-0.03663003663003661,1
2020-04-14,26850,27550,25950,27550,61608,0.04752851711026618,0
2020-04-16,26600,26600,24150,24600,208141,-0.10707803992740472,0
2020-04-17,24800,24900,23700,24200,130219,-0.016260162601625994,0
2020-04-20,24150,24550,23800,23850,57865,-0.01446280991735538,0
2020-04-21,23650,23900,22550,22850,95541,-0.04192872117400415,1
2020-04-22,22550,23300,22200,23300,45564,0.01969365426695835,1
2020-04-23,23300,23700,23000,23350,41063,0.0021459227467810482,0
2020-04-24,23350,23350,22800,22900,37440,-0.01927194860813708,1
2020-04-27,22900,23400,22800,23000,53176,0.004366812227074135,0
2020-04-28,23250,23650,22700,23000,61654,0.0,1
2020-04-29,22950,24450,22950,24450,80890,0.06304347826086953,0
2020-05-04,24400,24700,23550,24350,73888,-0.004089979550102263,1
2020-05-06,24500,25200,24450,25000,64563,0.026694045174537884,0
2020-05-07,25000,25450,24700,24950,58121,-0.0020000000000000018,1
2020-05-08,25250,25250,24700,25000,45732,0.002004008016031955,1
2020-05-11,25150,26450,24950,26250,92495,0.050000000000000044,0
2020-05-12,26250,26250,25200,25950,39504,-0.011428571428571455,0
2020-05-13,25650,26250,25400,25950,24270,0.0,0
2020-05-14,25850,25850,25050,25450,27682,-0.019267822736030782,0
2020-05-15,25750,25750,24350,24750,45466,-0.027504911591355596,0
2020-05-18,24750,25000,24450,24700,21560,-0.002020202020202033,1
2020-05-19,24800,25100,24500,24800,30756,0.004048582995951344,0
2020-05-20,24600,25050,24550,24650,20572,-0.006048387096774244,1
2020-05-21,24700,25450,24700,25300,63952,0.026369168356997985,0
2020-05-22,25600,25600,24750,25000,29057,-0.011857707509881465,0
2020-05-25,25000,25100,24350,24550,28516,-0.018000000000000016,0
2020-05-26,24400,24800,24300,24400,29213,-0.006109979633401208,1
2020-05-27,24700,25250,24450,24750,57678,0.014344262295082011,0
2020-05-28,24900,25200,24550,24600,42757,-0.0060606060606061,1
2020-05-29,24800,26350,24400,25950,156440,0.054878048780487854,0
2020-06-01,26000,26250,25600,25650,55624,-0.011560693641618491,1
2020-06-02,25750,26050,25300,25950,45817,0.011695906432748648,0
2020-06-03,26050,26200,25550,25600,66654,-0.013487475915221592,1
2020-06-04,25800,26150,25600,25750,28604,0.005859375,1
2020-06-05,26150,27150,25950,26850,132820,0.042718446601941684,1
2020-06-08,27300,27350,26700,26950,71639,0.003724394785847407,0
