뉴스제목,주가변동
넷마블   A   스틸얼라이브  공식카페 열어,0
넷마블   스틸얼라이브  공식 카페 열어,0
넷마블   A  스틸얼라이브  공식카페 개설,0
경기도시공사  과천지식정보타운  차분  월 분양,0
 A  스틸얼라이브  공식카페 오픈   일 미디어 쇼케이스 개최,0
코웨이 팔고     억 밑진 웅진 시총     억 클럽 반납,0
코웨이 팔고     억 밑진 웅진  시총     억 클럽도 반납,0
경자년 달굴 새내기  SK바이오팜 호텔롯데 카뱅  IPO    ,0
 분기 상장사 실적 청신호 게임 뜨고 항공 진다,0
오늘의 증시 일정   일,0
 유가증권 주간메모   월   일 월     월   일 금 ,0
웅진코웨이 주인 되고도 쉽게 인사 못내는 방준혁의 사정은,0
웅진코웨이  방준혁 넷마블 의장 사내이사 선임,0
새출발 코웨이 첫 수장  서장원 vs 이해선  양강구도 방준혁 선택은 ,0
설 연휴  게임 아이템 세뱃돈 받아볼까,0
웅진코웨이  다음달 주총   상호에서  웅진  뗀다 종합 ,0
코웨이 해외생산 거점 후보  곳 압축,0
웅진코웨이  방준혁 넷마블 의장 사내이사 합류 내달  일 임시주총,0
 시그널   대단원  막 내린 코웨이    방준혁 의장 참여한 새 이사회 구성,0
웅진코웨이   월 일 주총소집 방준혁 넷마블 의장 사내이사 선임,0
 빅데이터MSI 시장심리 톱   현대차 기아차 엔씨소프트 현대위아 락앤락,0
복주머니에 아이템 꾹꾹   설 연휴  게임할 맛 나네,0
웅진코웨이  사명 코웨이로 바꾼다,0
 설에 테슬라 못먹어  하이트진로 창사 이래  첫 품귀 ,0
머니투데이 오프라인 헤드라인   일자,0
MMORPG와 배틀로얄이 만났다  승부사 방준혁의 야심작  A  ,0
게임업계  우한 폐렴 확산에  비상    출장 금지 e스포츠 대회 연기,0
 중국 대신 동남아  경자년  해외 개척 나선 중견가전,0
 테크리포트 비상 꿈꾸는 클라우드 서비스 군단,0
우한폐렴  조정 빌미    단기냐 VS 장기냐,0
코웨이 인수금융     억 활용 넷마블  추가 투자 위해 현금 비축,0
넷마블  대학생 서포터즈  마블챌린저    기 모집,0
신종 코로나 확산에 게임업계 중국 판호 지연 우려,0
넷마블  대학생 서포터즈  마블챌린저    기 모집,0
  게임업계  자체 IP 확산  심혈  넷마블 SG 컴투스 펄어비스 펍지  활발 ,0
넷마블       억원 대출    웅진코웨이 인수 위해 ,0
넷마블 단기차입금     억원 증가,0
교원의 새로운 도전 식물재배기 공유 렌탈,0
SK바이오팜 빅히트 IPO 준비   코스피  대어급 훈풍  분다,0
 문화 보국 의 꿈 K컬처 열풍 주도한 이재현 CJ그룹 회장,0
넷마블 품에 안긴 렌털시장 강자 코웨이  어떻게 바뀔까,0
 일 장 마감 후 주요 종목뉴스,0
장 마감 후 기업공시  월  일 ,0
 유가증권시장 공시  지코   넷마블,0
넷마블  단기차입금     억원 증가 결정,0
 마켓인 빅히트 투자로 대박났던 LB PE 이번엔  공유경제  베팅,0
유튜브 영상 교육어플   아임크리  출시 한달만에 어플 상위권 휩쓸다,0
출발선에 선 코웨이  구독경제  새바람 일으킬까,0
 스튜어드십 코드      년 도입 이후  입김 세진 국민연금  주총서  NO     ,0
 오늘 기업 오늘 사람  신종 코로나 쇼크  김석환 삼천리자전거 ,0
 배당     넷마블은 봐주고       엔씨소프트는 손본다 ,0
 기생충  보다 어려운 게임  수출   게임 빅 의 고민,0
 시그널INSIDE  텐센트 효과    배그  크래프톤 IPO 탄력받나,0
 웅진 떼어낸  코웨이 사령탑 이해선 대표  무거운 어깨 ,0
리니지 M 덕분에 엔씨   분기  어닝 서프라이즈  종합 ,0
모바일 게임시장  리니지 M  평정    V     달빛조각사  추격,0
기업공시  월   일 ,0
 유가증권 기업공시     일  두산솔루스 등,0
  일  외국인 거래소에서 삼성전자          KODEX    TR        ,0
웅진코웨이 영업이익     급감,0
코웨이  지난해 사상 첫 매출   조  돌파 영업익은       줄어,0
코웨이  창사 이후 첫  매출  조  돌파,0
 특징주   BTS 컴백  엘비세미콘 디피씨 등 관련주 급등,0
 넷마블     이상 상승      년 신작 라인업에 기대   미래에셋대우  BU   ,0
넷마블  전일대비       올라    외국인      주 순매수 중,0
넷마블  상반기 글로벌 공략  가속  기대작 해외 출격  임박 ,0
코웨이  수리기사 직접고용 추진 소비자 AS  숨통 ,0
해외시장  만 있는 줄 알았더니  북미 서도 잘나가는 한국 게임,0
코웨이  설치 수리기사 정규직 전환 추진   노사 협의 중,0
 Hot Line   넷마블  신작 모멘텀 감안한 대응전략이 현실적 ,0
코웨이 설치 수리기사  정규직 된다,0
코웨이  CS 닥터  정규직 전환 추진 결정  업계 귀감,0
기업 공시  월  일 ,0
 재송   일 장 마감 후 주요 종목뉴스,0
 e공시 눈에 띄네 코스피   일,0
  일  거래소 외국인 순매도상위에 전기 전자 업종  종목,0
생활가전업계  지난해 사상 최대 매출  렌털사업이 실적 견인,0
 줌인 이종목  펄어비스  신작게임 모멘텀 기대,0
 신작  따라 대박 vs 쪽박 갈린 게임주,0
웅진코웨이  아직 산 넘어 산,0
넷마블  대학생 서포터즈 모집 경쟁률   대  기록 역대 최다,0
 Hot Line   웅진코웨이  배당 축소 CS닥터 직접 고용 불확실성 부담     ,0
웅진코웨이  충당금에 실적 둔화 투자의견 목표가  유안타,0
블록체인  구독경제  게임업계  새 먹거리로 도약 ,0
웅진코웨이 주가    이상  뚝 ,0
 새 주인  만난 웅진코웨이  배당정책  등 해결과제 산적,0
 특징주 웅진코웨이   Q  어닝쇼크  배당축소 우려  급락 ,0
 특징주 웅진코웨이   Q  어닝쇼크 에 배당축소 우려  급락 ,0
웅진코웨이  중장기 계획 발표 전엔 변동성  KB,0
토종 게임  총사 글로벌 흥행몰이,0
엔씨  이사 보수한도     늘린다는데  성장 주도한 임원들에 보상 필요 ,0
넷마블  A  스틸얼라이브    BJ 슈퍼 배틀로얄   차 대회   일 개최,0
 이 주의 책  아마존 뱅크가 온다  ,0
 빅데이터MSI 시장심리 톱   포스코 삼성전자 셀트리온 SK 아모레퍼시픽,0
 오늘 기업 사람  빅히트엔터 디피씨 진에어 도이치모터스 SK이노베이션,0
 구글 클라우드 서울 리전  개설   기업 디지털 전환 실현 ,0
코로나  에 눌린 올  분기 상장사 실적 역성장 우려,0
 삼성 LG SKT 모두 고객    구글 클라우드  서울 리전  개설,0
오늘의 증시 메모  월   일 ,0
구글 클라우드  디지털 트랜스포메이션 지원  GCP 서울 리전  개설,0
두산    탈원전 정책 으로 실적 악화 명예퇴직 실시,0
넷마블  글로벌 라인업 앞세워 실적 상승  도전 ,0
