Date,Open,High,Low,Close,Volume,Change,Price
2020-01-20,95400,96100,94400,94600,166563,-0.006302521008403339,0
2020-01-21,94400,95100,93200,93600,151849,-0.010570824524312905,1
2020-01-22,93000,94800,93000,94100,150127,0.005341880341880323,1
2020-01-23,93300,97300,92500,96400,319617,0.02444208289054206,0
2020-01-28,93900,95300,91200,91900,242539,-0.04668049792531115,0
2020-01-29,91500,92300,90500,91100,213910,-0.008705114254624613,0
2020-01-30,91100,91900,88500,88900,263879,-0.02414928649835346,1
2020-01-31,89000,93300,88100,89600,429661,0.007874015748031482,1
2020-02-03,89600,92300,89600,90700,284650,0.01227678571428581,1
2020-02-04,90900,92400,90000,91900,215829,0.013230429988974723,0
2020-02-05,92000,92100,90500,90600,208973,-0.014145810663764968,1
2020-02-06,91700,94900,91200,94400,255725,0.04194260485651213,0
2020-02-07,94100,95600,93000,93500,193643,-0.009533898305084776,1
2020-02-10,92900,94100,91800,93900,133222,0.004278074866310266,1
2020-02-11,93900,94900,93700,94100,135011,0.0021299254526092604,1
2020-02-12,93100,94900,93000,94900,160053,0.008501594048884176,0
2020-02-13,94900,95400,93200,93400,252523,-0.015806111696522684,1
2020-02-14,93000,98400,92200,97700,540815,0.04603854389721618,0
2020-02-17,99600,99700,94400,95700,502970,-0.020470829068577223,0
2020-02-18,96100,96800,94200,94500,217957,-0.01253918495297801,0
2020-02-19,95400,95600,92000,94300,231965,-0.002116402116402072,0
2020-02-20,93300,94400,92800,93100,209334,-0.012725344644750836,0
2020-02-21,92300,94300,92000,92300,174947,-0.008592910848549962,0
2020-02-24,91100,93700,90100,90300,280824,-0.021668472372697756,1
2020-02-25,90900,93200,90100,92100,240443,0.019933554817275656,0
2020-02-26,91000,92200,90500,91100,198622,-0.010857763300760048,0
2020-02-27,90500,91600,88700,89500,206632,-0.01756311745334793,0
2020-02-28,88200,88900,87400,88600,300929,-0.010055865921787754,0
2020-03-02,89000,89600,86600,88300,241318,-0.003386004514672636,0
2020-03-03,89900,90600,87600,88000,210329,-0.003397508493771184,1
2020-03-04,88700,94500,88400,94300,453992,0.07159090909090904,1
2020-03-05,95000,96500,94300,96300,358464,0.021208907741251393,0
2020-03-06,95300,95900,92000,92500,280031,-0.039460020768432025,0
2020-03-09,91300,91300,87600,88400,377974,-0.044324324324324316,1
