뉴스제목,주가변동
지난해 기업 유상증자 자금조달     급감,0
작년 증시 침체에 유상증자       급감,0
 투자의 창 상업용 부동산 리츠화가 답이다,0
 마켓인사이트  역대 최고액     상장 리츠  나온다,0
금주  월   일   일 의 신설법인     개,0
주가 뚝 떨어졌네   리츠 투자 해 볼까,0
  인 GDP  만달러 돌파후 라면 껌 주식   배 올라  중국이 바로 그 시점 ,0
     조  이커머스 대전   수익이냐 성장이냐   머니 게임  승자는 ,0
롯데 신세계 현대 까지   유통 빅   수서역 환승센터 수주  뛰어든다,0
롯데리츠 성공적 상장에 기여  해외시장 개척 동반자,0
한국투자증권  국내 리츠 자금조달 방식에 혁신,0
자타공인 IB강자  NH    DCM 해외개척  KB  ,0
장 마감 후 기업공시  월   일 ,0
올해 공모리츠 전성시대 열린다,0
핵심지서 롯데 떠나면 주변상권 땅값에도 악영향,0
이익률     롯데리츠  배당 매력 ,0
매출       성장 롯데리츠 주가는 왜 지지부진할까,0
이익률     롯데리츠  배당 매력,0
기업 공시  월  일 ,0
 e공시 눈에 띄네 코스피   일,0
월마트 주가     오를때 주가 반토막 난 롯데쇼핑 이마트,0
 롯데쇼핑  리스회계로 순손실 커 유통업 적용 재고 필요  유안타,0
실적한파  유통   주가도 꽁꽁,0
 I 리포트  롯데쇼핑  일회성 비용  년차 목표가  신영 ,0
 클릭 e종목  롯데쇼핑  올해 구조조정 본격화   실적 개선 기대 ,0
롯데쇼핑  구조조정 이후 기대 이베스트증권,0
롯데쇼핑 점포 줄이자   롯데리츠 연일  뚝뚝뚝 ,0
 마켓인사이트      년 베스트 딜메이커  ECM 이현규 한투 IB 본부장 역대   ,0
넘쳐나는 부동자금  돈 굴릴 데 없네,0
롯데그룹주  개월만에 시총     뚝 솟아날 구멍있다,0
믿었던  리츠  왜이래 ,0
부동산 추가 규제 임박  리츠 가 떠오르는 이유,0
주가 하락이 호재  리츠 배당수익률  껑충 ,0
한때 열풍 불더니   맥못추는 리츠 주식,0
미래에셋자산운용  첫 리츠 상품 국토부 인가,0
미래에셋자산운용  첫 리츠  맵스리츠  호  상장 추진,0
미래에셋자산운용  제 호 리츠  국토부 인가로 급물살,0
미래에셋자산운용  첫 리츠 상품 국토부 인가 획득,0
미래에셋자산운용  첫 리츠 상품 국토부 인가,0
미래에셋자산운용 첫 리츠 출시 광교 상업시설에 투자,0
미래에셋자산운용   맵스리츠 호  인가 상반기 상장 계획,0
미래에셋자산운용  첫 리츠 상품 국토부 인가 획득,0
롯데쇼핑 칼바람에 거품 걷힌 롯데리츠   투자자  흔들 ,0
미래에셋운용 첫 리츠 상품 국토부 인가받아,0
미래에셋도 리츠 뛰어든다 첫 리츠 상품 국토부 인가 획득,0
미래에셋자산운용  첫 리츠 상품 국토부 인가 획득,0
미래에셋운용  공모리츠 첫선,0
미래에셋자산운용  올 상반기  맵스리츠 호  상장 ,0
미래에셋자산운용 첫 리츠  맵스리츠 호  국토부 인가  상반기 상장 추진,0
미래에셋운용   맵스리츠 호  인가 상반기 상장 계획,0
 마켓인사이트 코람코  롯데와 손잡고 숙명여대 인근에 역세권 청년주택 짓는다,0
해외 리츠 잘 나가는데 국내 리츠는  털썩 ,0
코람코 롯데건설  숙대 인근 역세권 청년주택 짓는다,0
코람코자산신탁 롯데건설  리츠로 청년임대주택사업 추진,0
코람코자산신탁  롯데건설과 용산 역세권 청년임대주택 개발,0
코람코자산신탁  롯데건설과 용산에  역세권 청년주택  개발,0
코람코자산신탁  롯데건설과 역세권 청년임대주택 개발,0
코람코자산신탁  롯데건설과 역세권 청년임대주택 개발,0
 fn마켓워치  코람코자산신탁  롯데건설과 역세권 청년임대주택 개발,0
코람코자산신탁  롯데건설과 역세권 청년임대주택 개발,0
코로나에 잘나가던  리츠 도 직격탄 주가        뚝 ,0
글로벌 금리인하 가속페달  다시  리츠로 ,0
기업공시  월  일 ,0
코로나에 주저앉은 상장 리츠  옥석 가리기  시작됐다,0
 부동산 vs 금융  대어급 공모리츠 상장 준비  해외 ETF 사볼까,0
 부동산 vs 금융  상장리츠  자본차익에 배당수익까지 노려볼까,0
 부동산 vs 금융  개인투자자 문 열린  동남아 부동산  ,0
 경제 빙하기 대비해야   자산매각 등 현금 확보 나선 기업들,0
부동산도 코로나 리스크  리츠 손실 커져,0
주요 수입원인 임대료 수익 타격 리츠 주가 두 자릿수 급락,0
LH  울산송정 B 블록   년공공임대 잔여세대 동호지정 모집,0
 마켓인  대세에서 근심거리로  호텔에 갇힌 투자업계,0
줄상장 예고에도 얼어붙은 리츠   투자심리 돌릴까,0
 MBN 토요포커스  코로나 이후 부동산 시장 전망은 ,0
코로나가 흔든 상권    명동 손님     사라지고  화장품 패션  비명 ,0
코로나 후 명동 매장손님   명 중  명  증발   매출 급락 ,0
리츠  코로나에 공모가 밑  우수수  일각  투자매력도  ,0
 MBN 토요포커스  코로나 이후 부동산 시장 전망은 ,0
롯데리츠  목표 배당수익률 최소   로 접근 목표가  NH,0
정부가  안정적 이라고 콕 찝은 그 리츠  올해만     떨어져,0
 신반포  차  따낸 래미안 반포주공 단지도 수주하나,0
