Date,Open,High,Low,Close,Volume,Change,Price
2020-01-20,5600,5610,5541,5552,406378,-0.006975496333393005,1
2020-01-21,5541,5571,5532,5561,465386,0.0016210374639769043,0
2020-01-22,5561,5580,5483,5513,379317,-0.008631541089732075,0
2020-01-23,5483,5502,5395,5396,1011815,-0.02122256484672591,0
2020-01-28,5317,5356,5210,5250,1410318,-0.027057079318013377,1
2020-01-29,5278,5444,5278,5425,472340,0.03333333333333344,0
2020-01-30,5298,5444,5288,5425,1451177,0.0,1
2020-01-31,5425,5483,5356,5483,832302,0.010691244239631414,1
2020-02-03,5454,5590,5366,5571,904480,0.01604960787889831,0
2020-02-04,5590,5590,5502,5561,446948,-0.0017950098725543207,0
2020-02-05,5571,5629,5532,5561,335269,0.0,1
2020-02-06,5561,5619,5551,5591,367653,0.005394713181082533,0
2020-02-07,5619,5619,5551,5591,351043,0.0,1
2020-02-10,5590,5610,5571,5610,198569,0.0033983187265247405,0
2020-02-11,5610,5629,5590,5600,430434,-0.0017825311942959443,0
2020-02-12,5590,5590,5522,5552,532062,-0.008571428571428563,0
2020-02-13,5561,5561,5512,5532,321925,-0.0036023054755043304,0
2020-02-14,5454,5483,5366,5464,1427961,-0.012292118582791,0
2020-02-17,5395,5454,5337,5357,806333,-0.019582723279648606,0
2020-02-18,5347,5356,5317,5347,444986,-0.0018667164457718544,1
2020-02-19,5337,5425,5337,5425,381974,0.01458761922573415,0
2020-02-20,5405,5425,5356,5396,344826,-0.005345622119815707,0
2020-02-21,5395,5395,5337,5347,703562,-0.009080800593031846,0
2020-02-24,5288,5308,5191,5211,1579263,-0.02543482326538249,1
2020-02-25,5201,5240,5171,5230,720278,0.0036461331798118835,0
2020-02-26,5162,5230,5152,5221,475772,-0.0017208413001912337,0
2020-02-27,5220,5240,5142,5191,527191,-0.005746025665581356,0
2020-02-28,5162,5162,4947,4958,1384005,-0.04488537853978036,1
2020-03-02,4928,5035,4918,5026,445194,0.013715207745058411,1
2020-03-03,5074,5113,5025,5084,356812,0.011539992041384783,1
2020-03-04,5054,5230,5035,5221,772383,0.026947285601888193,1
2020-03-05,5249,5288,5201,5279,778135,0.011108982953457192,0
2020-03-06,5201,5259,5201,5230,324880,-0.009282060996400832,0
2020-03-09,5152,5201,5113,5172,518601,-0.011089866156787753,1
2020-03-10,5123,5259,5093,5240,424607,0.01314771848414531,0
2020-03-11,5278,5278,5162,5221,412192,-0.0036259541984733357,0
2020-03-12,5162,5220,4996,5026,775600,-0.037349166826278535,0
2020-03-13,4811,4850,4572,4729,1861648,-0.05909271786709114,0
2020-03-16,4728,4938,4718,4724,944808,-0.0010573059843518307,1
2020-03-17,4709,4869,4577,4870,688334,0.030906011854360704,0
2020-03-18,4869,4947,4835,4850,401735,-0.004106776180698102,0
2020-03-19,4821,4840,4421,4558,1279344,-0.060206185567010295,0
2020-03-20,4723,4723,4465,4558,984153,0.0,0
2020-03-23,4373,4470,4319,4359,945277,-0.04365949978060557,1
2020-03-24,4382,4412,4348,4402,658030,0.00986464785501262,1
2020-03-25,4509,4597,4485,4563,679400,0.036574284416174496,1
2020-03-26,4587,4762,4533,4695,665983,0.028928336620644313,1
2020-03-27,4762,4821,4694,4782,567659,0.018530351437699766,1
2020-03-30,4714,4865,4577,4860,471312,0.016311166875784266,1
2020-03-31,4869,4986,4865,4938,373604,0.016049382716049276,0
2020-04-01,4938,4938,4860,4870,396251,-0.013770757391656563,0
2020-04-02,4850,4865,4772,4846,236118,-0.004928131416837789,0
2020-04-03,4899,4899,4791,4821,217894,-0.005158893933140729,1
2020-04-06,4762,4855,4762,4831,303947,0.002074258452603228,0
2020-04-07,4879,4889,4782,4811,637869,-0.00413992962119647,0
2020-04-08,4821,4821,4762,4787,344330,-0.004988567865308657,1
2020-04-09,4821,4830,4782,4831,352976,0.009191560476289995,1
2020-04-10,4835,4928,4821,4919,624597,0.018215690333264423,0
2020-04-13,4899,4908,4835,4899,296296,-0.004065867046147642,0
2020-04-14,4899,4918,4860,4865,383825,-0.006940191875893009,1
2020-04-16,4860,4928,4840,4870,373052,0.0010277492291881352,1
2020-04-17,4879,5064,4869,5055,740396,0.037987679671458,1
2020-04-20,5045,5093,4977,5074,506921,0.0037586547972303652,0
2020-04-21,5064,5074,4938,5045,444535,-0.005715411903823409,1
2020-04-22,5025,5230,4938,5230,1359241,0.03666997026759167,0
2020-04-23,5278,5327,5162,5221,775803,-0.0017208413001912337,0
2020-04-24,5181,5191,5015,5104,622483,-0.022409500095767143,0
2020-04-27,5113,5123,4996,5104,311769,0.0,1
2020-04-28,5123,5278,5113,5230,1036178,0.02468652037617547,0
2020-04-29,5240,5240,5093,5162,552237,-0.013001912045889075,0
2020-05-04,5093,5181,4967,4987,953170,-0.033901588531576876,1
2020-05-06,5035,5113,4996,5113,243665,0.025265690796069773,0
2020-05-07,5123,5123,5006,5026,374974,-0.017015450811656563,1
2020-05-08,5074,5084,5025,5055,276568,0.005769996020692503,1
2020-05-11,5074,5171,5054,5113,382588,0.011473788328387746,0
2020-05-12,5152,5162,5025,5045,356273,-0.013299432818306256,1
2020-05-13,5025,5123,5015,5123,379874,0.01546085232903871,0
2020-05-14,5123,5123,4996,5035,415730,-0.01717743509662306,1
2020-05-15,5084,5113,5025,5094,297543,0.011717974180734947,1
2020-05-18,5093,5113,5035,5113,257010,0.0037298782881822756,1
2020-05-19,5142,5259,5132,5259,828202,0.02855466458048106,0
2020-05-20,5259,5259,5084,5259,371810,0.0,1
2020-05-21,5298,5454,5298,5425,964217,0.03156493629967683,0
2020-05-22,5473,5532,5356,5415,1484076,-0.0018433179723502668,1
2020-05-25,5464,5502,5434,5493,688167,0.01440443213296394,1
2020-05-26,5493,5600,5483,5522,968612,0.005279446568359658,1
2020-05-27,5522,5619,5473,5610,703062,0.015936254980079667,1
2020-05-28,5649,5649,5561,5630,785668,0.0035650623885918886,1
2020-05-29,5619,5746,5571,5746,2226396,0.020603907637655405,0
2020-06-01,5756,5775,5668,5698,700024,-0.008353637312913276,1
2020-06-02,5717,5736,5658,5727,603681,0.005089505089505009,1
2020-06-03,5746,5775,5717,5766,928878,0.006809848088004111,0
2020-06-04,5765,5775,5668,5669,757399,-0.01682275407561573,0
2020-06-05,5658,5707,5610,5649,630276,-0.0035279590756747137,0
2020-06-08,5649,5697,5619,5649,464409,0.0,0
2020-06-09,5649,5688,5561,5600,759272,-0.008674101610904539,0
2020-06-10,5600,5610,5512,5522,571808,-0.013928571428571401,1
2020-06-11,5522,5590,5512,5542,450312,0.003621876131836288,0
2020-06-12,5395,5541,5356,5532,671022,-0.0018044027426922238,0
2020-06-15,5561,5561,5386,5386,669334,-0.026391901663051387,1
2020-06-16,5493,5532,5454,5503,632510,0.021722985518009663,1
2020-06-17,5541,5639,5502,5571,637749,0.012356896238415516,1
2020-06-18,5600,5668,5561,5669,587898,0.01759109675103221,0
2020-06-19,5688,5726,5629,5659,2616049,-0.0017639795378373568,0
2020-06-22,5668,5668,5522,5532,522041,-0.022442127584378913,0
2020-06-23,5541,5571,5405,5454,462298,-0.014099783080260275,1
2020-06-24,5434,5483,5425,5483,247657,0.00531719838650524,0
2020-06-25,5425,5493,5415,5445,288993,-0.006930512493160679,1
2020-06-26,5483,5551,5454,5522,473172,0.014141414141414232,0
2020-06-29,5366,5405,5317,5386,354013,-0.02462875769648676,0
2020-06-30,5386,5444,5356,5367,287713,-0.0035276643148904885,0
2020-07-01,5376,5395,5356,5357,206046,-0.0018632383081795822,1
2020-07-02,5347,5386,5327,5367,267321,0.0018667164457719654,0
2020-07-03,5386,5386,5337,5337,406722,-0.005589714924538858,0
2020-07-06,5337,5356,5220,5250,533941,-0.016301292861158,0
2020-07-07,5269,5269,5162,5162,414314,-0.016761904761904756,0
2020-07-08,5191,5201,5045,5055,525545,-0.020728399845021284,1
2020-07-09,5035,5113,5025,5084,427511,0.005736894164193762,1
2020-07-10,5064,5152,5045,5113,216580,0.005704169944925175,0
2020-07-13,5142,5162,5084,5084,114092,-0.005671816937218854,0
2020-07-14,5093,5113,5045,5074,160559,-0.0019669551534224894,0
2020-07-15,5103,5123,5015,5035,406897,-0.007686243594796971,1
2020-07-16,5045,5064,5006,5045,315176,0.0019860973187686426,1
2020-07-17,5045,5093,5015,5094,383474,0.009712586719524241,0
2020-07-20,5103,5113,5035,5065,221313,-0.005692972124067497,0
2020-07-21,5054,5093,5035,5035,394111,-0.005923000987166804,0
2020-07-22,5054,5064,5015,5035,359033,0.0,0
