뉴스제목,주가변동
삼성전자 사장단 인사  세대교체 신호탄 ,0
삼성 사장단 인사   이재용  안정  속  차세대 주자 육성 에 초점 종합 보 ,0
  살 노태문 삼성 스마트폰  지휘봉   인 대표 체제는 유지,0
코스피      선 올라    반도체 업황 기대감 반영 ,0
 코스피 마감 반도체주 강세에     도 터치  폐렴주 급등,0
 시황종합  코스피     선 올라    또 최고가,0
 마감시황 코스피  외국인 매수에 상승     선 회복,0
 TF시황  엇갈린 국내 증시 LG화학  합작법인 설립 검토설에  강세 ,0
코스피  외국인 매수에 상승     선 회복,0
삼성전자 연일 신고가에 삼성그룹  펀드  훨훨 ,0
 단독  금감원 출신 많은 법무법인 화우   라임 사건  잇달아 수임,0
 오후시황  외국인 기관 매수세 힘입어  코스피     선 돌파,0
코스피    넘게 올라     선    또 최고가,0
윤석헌 금감원장  부서장 인사 조직 개편 이번주 중 할 것 ,0
삼성전자 사장단 인사에 비친  조직문화 쇄신 ,0
한달 늦은 삼성전자 사장인사 키워드 세가지는 ,0
이재용  변화보다 안정 택했다 삼성   인 체제  일단 유지,0
코스피  외인 기관 매수세에    가까이 상승      터치,0
 오후시황  코스피  외국인 기관 매수에 오후에도 강세,0
JP모건 키워드   기술수출 신약개발 글로벌   JP모건 헬스케어 컨퍼런스       ,0
JP모건 행사 참여로 떴던 바이오   다시 제자리 ,0
 우한 폐렴  공포 덮친 코스피 장중 한때     선마저 무너져,0
  일  거래소 외국인 순매수상위에 화학 업종  종목,0
 마감시황 코스피   우한 폐렴  공포에    하락  년 개월 만에 최대 낙폭,0
 중국 우한 폐렴 에 증시도  콜록콜록  코스피 코스닥   대 급락,0
 TF시황   우한 폐렴  공포에 무너진 코스피     대 급락,0
코스피  우한 폐렴 확산 여파로   대 급락       선 후퇴,0
 시황종합  우한폐렴에  급락  코스피     선 붕괴 달러 금 ,0
 종합 블랙스완 우려 커지는 신종 코로나 코스피    급락 환율 급등,0
 마켓뷰       내준 코스피   월 상승률 마이너스 전환,0
 마감  코스피 코스닥  우한 폐렴 공포속   대 급락,0
 특징주  삼성바이오로직스  국내 증시 하락장에도 강세,0
 우한폐렴  금융시장  출렁  코스피     선 붕괴 달러 금 ,0
신종 코로나 공포에 코스피 낙폭 확대     대 급락세,0
신종 코로나 바이러스로 투자심리 얼어붙어 국내증시 급락세,0
코스피  신종코로나 충격에   대 급락      선 붕괴,0
 마감시황  신종 코로나 우려 속 코스피    이상 급락해       아래로,0
 마감시황  코스피  우한 폐렴 우려에 연중 최대 낙폭     선 후퇴,0
 특징주  증시 급락 속에서도 삼성바이오로직스 강세,0
 특징주  삼성바이오로직스  폭락장 속에서도 나홀로 강세,0
  일  거래소 외국인 순매수상위에 금융업 업종  종목,0
이재용 재판 앞두고 분주한 삼성  계열사별 준법감시조직 개편,0
삼성전자 준법감시조직  CEO가 직접 챙긴다,0
삼바 김태한 대표 유임 에피스 박상진 부사장 승진,0
코스피    대 하락 마감 외인 기관 IT대형주 대거 매도,0
 마감  코스피  신종코로나 공포에 급락      선 무너져,0
 준법감시  틀 바꾼 삼성  준법감시 조직 독립성 전문성 강화,0
