Date,Open,High,Low,Close,Volume,Change,Price
2020-01-20,439000,442500,437500,438000,66165,0.0022883295194509046,0
2020-01-21,439500,444500,437000,438000,70311,0.0,1
2020-01-22,437000,454000,436500,452000,179649,0.03196347031963476,1
2020-01-23,469500,493000,458500,483000,438529,0.06858407079646023,1
2020-01-28,477000,499000,476000,494000,320066,0.022774327122153215,0
2020-01-29,495500,495500,485000,491000,161493,-0.006072874493927127,1
2020-01-30,490500,500000,485000,495000,161574,0.008146639511201537,0
2020-01-31,495000,499500,484500,484500,132195,-0.021212121212121238,0
2020-02-03,477000,484000,465000,479500,193254,-0.01031991744066052,1
2020-02-04,483000,493000,482500,492500,113472,0.027111574556829998,0
2020-02-05,495500,499500,489000,490000,95141,-0.005076142131979711,1
2020-02-06,497500,523000,494000,519000,298254,0.0591836734693878,0
2020-02-07,521000,524000,510000,519000,125762,0.0,1
2020-02-10,519000,534000,511000,530000,153016,0.021194605009633882,0
2020-02-11,536000,542000,524000,528000,170868,-0.0037735849056603765,1
2020-02-12,528000,538000,525000,530000,131478,0.0037878787878788955,0
2020-02-13,537000,537000,527000,530000,111860,0.0,0
2020-02-14,530000,533000,528000,529000,77388,-0.0018867924528301883,0
2020-02-17,529000,529000,517000,519000,145950,-0.018903591682419618,0
2020-02-18,514000,518000,510000,513000,121475,-0.011560693641618491,0
2020-02-19,513000,517000,500000,505000,175595,-0.015594541910331383,0
2020-02-20,507000,514000,495000,498500,261309,-0.012871287128712883,0
2020-02-21,493000,494000,483000,486500,214090,-0.02407221664994985,0
2020-02-24,470000,477500,461000,461000,278895,-0.05241521068859201,1
2020-02-25,459000,479500,458000,479000,246549,0.0390455531453362,1
2020-02-26,468000,484500,467000,480000,156734,0.0020876826722338038,0
2020-02-27,479000,484000,471000,480000,166026,0.0,0
2020-02-28,473000,475000,455500,463500,231859,-0.034375000000000044,1
2020-03-02,463000,472500,457500,467000,149246,0.007551240560949246,1
2020-03-03,479500,502000,476500,479500,233926,0.02676659528907921,1
2020-03-04,479500,491000,479000,489000,140079,0.019812304483837417,1
2020-03-05,498500,499000,490000,496500,130398,0.015337423312883347,0
2020-03-06,491000,494000,487500,491000,93421,-0.011077542799597162,1
2020-03-09,484000,500000,483000,494000,202109,0.006109979633401208,1
2020-03-10,489000,497000,486000,496000,156243,0.004048582995951344,0
2020-03-11,507000,514000,476500,484000,201904,-0.024193548387096753,0
2020-03-12,480000,489000,467000,483000,244877,-0.0020661157024793875,0
2020-03-13,465000,478000,420000,456500,477093,-0.054865424430641796,0
2020-03-16,463000,474500,429500,430000,218369,-0.058050383351588186,0
2020-03-17,410000,433000,409500,417500,423614,-0.029069767441860517,0
2020-03-18,425500,427500,400500,400500,276886,-0.04071856287425146,0
2020-03-19,410000,416000,352000,366000,470624,-0.08614232209737827,1
2020-03-20,383500,451000,371500,430000,586738,0.17486338797814205,1
2020-03-23,406000,454500,405500,436000,589740,0.013953488372093092,1
2020-03-24,452500,492000,448000,476000,509039,0.09174311926605494,0
2020-03-25,492500,494000,462000,475000,431318,-0.0021008403361344463,0
2020-03-26,469500,475000,456000,456500,324101,-0.03894736842105262,0
2020-03-27,467000,469000,436000,443000,399994,-0.02957283680175249,1
2020-03-30,437000,452000,433500,450000,216938,0.015801354401805856,1
2020-03-31,455000,493000,448000,482000,665621,0.07111111111111112,0
2020-04-01,481000,486000,450500,452500,313016,-0.06120331950207469,1
2020-04-02,451000,468000,449000,464500,187474,0.026519337016574607,1
2020-04-03,463500,478000,461000,467500,220451,0.006458557588805203,1
2020-04-06,474500,488000,473000,477000,219399,0.02032085561497321,1
2020-04-07,486000,486000,474000,482500,177208,0.011530398322851187,0
2020-04-08,482500,484500,477500,477500,124190,-0.010362694300518172,1
2020-04-09,481500,483000,474000,478500,125253,0.0020942408376962707,1
