뉴스제목,주가변동
 대통령  롯데  신격호 사후에도     가교 역할 해달라  주문 종합 ,0
  일  외국인 코스닥에서 셀트리온헬스케어          안랩             ,0
  일  기관 코스닥에서 셀트리온헬스케어          유니테스트           ,0
국민연금 투자   개사  순익 내고도  쥐꼬리  배당,0
 기자수첩  들뜬 K바이오  냉정해지자,0
코스피      선 올라    반도체 업황 기대감 반영 ,0
코스피     로 상승 마감 코스닥은    선 무너져,0
 코스닥 마감 나흘만에 하락  이 호재에서 악재로,0
 시황종합  코스피     선 올라    또 최고가,0
 신격호 별세    경제 성장과 궤적 같이    롯데 일군 의지  유산될것  애도   ,0
 마감시황 코스피  외국인 매수에 상승     선 회복,0
 TF시황  엇갈린 국내 증시 LG화학  합작법인 설립 검토설에  강세 ,0
 마감  코스피  외인  사자 에     선 회복,0
코스피  외국인 매수에 상승     선 회복,0
 신격호 별세   기업인 신화  정재계 조문행렬,0
 오후시황  외국인 기관 매수세 힘입어  코스피     선 돌파,0
코스피    넘게 올라     선    또 최고가,0
 MBN Y 포럼        내 삶의 주인공은 나        우리들의 영웅 은   ,0
 마감시황  코스피  외인 기관 매수에     선 안착 또   주 신고가 경신,0
 오후시황  코스피  외국인 기관 매수에 오후에도 강세,0
  일  기관 코스닥에서 셀트리온헬스케어          KH바텍      등 순   ,0
 마감시황 코스피  기관 매수에     선 회복  년 개월만에 최고치,0
 시황종합  코스피     선 회복 우한폐렴 공포에도 반등,0
 코스닥 마감      올라    선 회복 바이오주 껑충,0
코스피  기관 순매수에    이상 오르며     선 마감  코스닥    선 회복,0
 마감시황  기관 매수세 전환에 힘입어  코스피      상승 마감,0
 마감  코스피      선 회복  기관    거래일만에  사자 ,0
 TF시황   상승 곡선  국내 증시 현대차  매출    조 돌파에  급등 ,0
 코스피 마감  폐렴 타격 하루만에 만회     선  껑충 ,0
 오후시황  우환 폐렴 확산 우려에도  코스피     선 넘어,0
K 바이오  혁신 승부수  FDA날개 달고 글로벌 영토 넓힌다,0
 시황  코스피  장중 상승전환      선 육박,0
사외이사 임기  년 제한 재계  경영 간섭 비판,0
 오전시황 기관의 귀환   코스피 지수 장 초반 순항,0
 빅데이터MSI 시장심리 톱   현대상선 삼성생명 셀트리온 삼성중공업 삼성카드,0
셀트리온   직접  중국 진출한 이유는 ,0
  년만에 창업 도전하는 서정진 셀트리온 회장,0
 fn마감시황 코스피  기관 매수에   대 상승       선 회복,0
 fn오전시황 코스피  기관 매수에 상승,0
코스닥    우한폐렴  우려에도 상승 제약  견인,0
SK종합화학  구내식당 대신 배달 도시락으로  우한 진출 국내 기업들 긴장감,0
 마감시황  우한폐렴 에 주춤한 코스피     선 마감,0
 마켓인사이트  국민연금   월 주총  힘 자랑 하나,0
 TF시황  국내 증시 하락 속 삼성바이오로직스  호실적에  상승 ,0
 시황종합  우한폐렴 우려 확산  코스피     선 후퇴,0
코스피  우한 폐렴 확산 우려에 뚝     선 후퇴,0
 이종우의 경제읽기 잘 키운  유니콘    년 후 경제가 달라진다,0
경자년  울고 웃는 쥐띠 회장님들,0
코스피  우한 폐렴 확산 우려에 하락 출발,0
 빅데이터MSI 시장심리 톱   현대차 기아차 엔씨소프트 현대위아 락앤락,0
 빅데이터MSI   일 오전 주식시장 심리  단계  매우 좋음 ,0
화이자도 출격    아바스틴 시밀러 경쟁 불붙었다,0
 마감시황  코스피  외인 기관  천억 매도하며     선 후퇴,0
코스피   우한 폐렴  악재속 하락 출발 장중      선도 붕괴,0
코스피  외국인 기관 매도로     선서 등락,0
코스닥  외국인 기관 매도에 하락 출발,0
 개장시황  기관 외국인 매도에   코스피      선으로 하락,0
  일  코스닥 기관 순매수상위에 반도체 업종  종목,0
  일  코스닥 외국인 순매수상위에 오락 문화 업종  종목,0
  일  기관 거래소에서 삼성전자          LG생활건강         등    ,0
우한공포  중국 진출한 K바이오 현지공장 중단 생산차질 우려,0
  시장서  성장 날개  단 셀트리온 램시마,0
공장 스톱까지 우한 폐렴 불똥에  진출 K 바이오  촉각 ,0
 마감시황  우한 폐렴  패닉셀 멈춘 코스피 강보합 마감 종합 ,0
 시황종합   신종 코로나  우려에도 코스피     선 반등,0
코스피  개인 외인 순매수에 사흘 만에 상승 마감  코스닥    선 회복,0
 코스피 마감 상승했지만     선 회복 실패 기관 대거  팔자 ,0
 마감시황  우한 폐렴  패닉셀 멈춘 코스피 강보합 마감,0
 코스닥 마감 저가매수 나선 개미덕에 상승    선 회복,0
 TF시황  코스피      대 강보합 개인 외국인  사자 ,0
 마감시황  코스피      선 방어   거래일 만에 반등,0
 오후시황  코스피     선 회복   신종코로나  우려 완화에 투심 개선,0
유통업         이 강세인 가운데  코스닥도 상승 흐름         ,0
후성  상승흐름 전일대비           이 시각 거래량    만    주,0
우한폐렴  불똥  기아차  공장 가동 또 연기 협력사  곡소리 ,0
 시황   신종코로나  우려완화에 반등  코스피      선 유지,0
 마감시황 코스피  우한폐렴 불안에도 반등        선 회복,0
  일  코스닥 외국인 순매도상위에 반도체 업종  종목,0
  일  코스닥 기관 순매수상위에 IT부품 업종  종목,0
  일  외국인 거래소에서 삼성전자          SK하이닉스         등   ,0
  일  거래소 기관 순매도상위에 전기 전자 업종  종목,0
코스피    대 하락 마감 외인 기관 IT대형주 대거 매도,0
 마감  코스피  신종코로나 공포에 급락      선 무너져,0
 마감시황 코스피  외인 기관 동시매도에 하락     선 후퇴 종합 ,0
 코스피 마감    가까이 급락해     선 하회   여일래 최저,0
 시황종합 신종 코로나 공포에 코스피     선 후퇴 코스닥    ,0
코스피      떨어진     선 마감 코스닥    하락세,0
코스피  신종 코로나바이러스 확산 우려에 급락,0
 마감시황 코스피   우한 폐렴  우려 지속에 하락     선 후퇴,0
 코스닥 마감 신종 코로나    경기둔화 우려    대 하락,0
 TF시황   내리막길  국내 증시 코스피      선 무너져,0
 오후시황  신종코로나 확산 우려  코스피      선  급락 ,0
 우한 폐렴  우려 완화에 외국인 개인  사자 ,0
 시황   신종코로나  확산 우려  코스피      선 약세,0
 마감시황 코로나바이러스 우려에 코스피      선까지 하락,0
 오후시황 외인 기관 매도세에 국내 증시   대 하락세,0
 신종코로나  불안에 코스피 하락 출발      선 약세,0
  일  코스닥 기관 순매도상위에 반도체 업종  종목,0
  일  외국인 코스닥에서 SFA반도체          아프리카TV           ,0
  일  거래소 기관 순매도상위에 전기 전자 업종  종목,0
카나브 앞세운 보령제약 매출  조클럽 가입 눈앞,0
 마감시황 사흘 만에 순매수 펼친    코스피       상승 마감 종합 ,0
 마켓뷰   우한 폐렴  공포 끝나나    코스피       회복,0
 TF시황  신종 코로나 악재 끝났나 코스피     선 회복하며 반등 마감,0
 마감시황 사흘 만에 순매수 펼친    코스피       상승 마감,0
전기 전자 매집한 외국인 코스피           마감,0
 마감  개인 외국인 매수세 힘입어 코스피  나흘 만에 상승마감,0
코스피  개인 외국인 매수에 반등     선 회복,0
 코스닥 마감 이틀 연속 상승     선 넘어,0
 코스피 마감   훈풍에 나흘 만에 반등     선 회복,0
  년 제한 에 코스피    개사  주총서    명 사외이사 교체해야,0
  증시  폭락 딛고 반등 코스피도  거래일 만에 상승 중,0
    사자  코스피    가까이 상승     선 회복,0
 오후시황  코스피  외국인  사자      선 회복  코스닥   대 강세,0
 마감시황  코스피 외국인 개인 매수에 반등        선 넘어,0
