Date,Open,High,Low,Close,Volume,Change,Price
2020-01-20,84800,86600,83300,83500,145361,-0.015330188679245293,0
2020-01-21,83300,84200,82400,82700,85675,-0.009580838323353325,1
2020-01-22,84000,86900,83200,86400,200795,0.04474002418379697,1
2020-01-23,86000,86800,84800,86500,96204,0.0011574074074074403,0
2020-01-28,84100,84200,81000,81500,206796,-0.05780346820809246,1
2020-01-29,82500,85700,81800,84800,145373,0.04049079754601226,0
2020-01-30,84000,85000,83000,84700,83321,-0.001179245283018826,0
2020-01-31,85400,85600,82300,82300,105678,-0.02833530106257376,1
2020-02-03,81200,84700,80300,84000,101652,0.020656136087484844,1
2020-02-04,84100,86000,82700,85000,118516,0.011904761904761862,0
2020-02-05,85800,86600,84400,84600,111773,-0.004705882352941226,0
2020-02-06,85500,85800,84000,84300,88320,-0.0035460992907800915,0
2020-02-07,84400,84500,82700,83500,86480,-0.009489916963226541,1
2020-02-10,83600,85000,82700,84100,96577,0.007185628742514938,0
2020-02-11,84800,85100,82800,82900,90464,-0.014268727705113005,1
2020-02-12,83600,84000,82900,84000,98633,0.013268998793727338,1
2020-02-13,84600,87800,83500,86000,265463,0.023809523809523725,0
2020-02-14,83500,84700,82700,84000,289740,-0.023255813953488413,0
2020-02-17,84100,84400,83000,83900,109635,-0.0011904761904761862,0
2020-02-18,83500,83900,82100,82600,112249,-0.015494636471990453,1
2020-02-19,82500,83800,81900,83600,85885,0.012106537530266248,0
2020-02-20,83100,83600,81400,82100,90175,-0.01794258373205737,0
2020-02-21,81700,81800,80500,80700,82546,-0.01705237515225333,0
2020-02-24,77800,80000,76800,77800,97527,-0.035935563816604676,1
2020-02-25,76600,80100,76600,79000,70331,0.015424164524421524,0
2020-02-26,77100,78900,77000,78000,75156,-0.012658227848101222,0
2020-02-27,78300,80500,76700,77400,111986,-0.007692307692307665,0
2020-02-28,76000,76700,73500,73700,130618,-0.04780361757105944,1
2020-03-02,73700,76300,73200,76100,75180,0.03256445047489831,1
2020-03-03,77900,78600,76700,76800,75532,0.009198423127463773,1
2020-03-04,77000,79000,76100,78500,41289,0.02213541666666674,1
2020-03-05,79100,79600,78300,79300,65045,0.010191082802547768,0
2020-03-06,78000,78500,76600,77200,64135,-0.02648171500630514,0
2020-03-09,75700,75800,74100,74600,74939,-0.033678756476683946,1
2020-03-10,72600,76900,72600,76300,91557,0.02278820375335111,0
2020-03-11,76100,76600,74100,74100,72569,-0.028833551769331556,0
2020-03-12,74000,74000,68300,69700,198020,-0.05937921727395412,0
2020-03-13,65000,72000,63700,69300,255890,-0.0057388809182209455,1
2020-03-16,70100,75700,68700,71400,174298,0.030303030303030276,1
2020-03-17,70100,74700,70000,73000,179182,0.022408963585434094,1
2020-03-18,74200,79500,73100,73700,275876,0.009589041095890316,0
2020-03-19,77200,78700,66100,69100,484109,-0.062415196743555,1
2020-03-20,73100,75800,71000,75800,192475,0.09696092619392194,0
2020-03-23,72000,74600,71300,71800,159296,-0.05277044854881263,1
2020-03-24,76300,79400,75200,79400,245452,0.1058495821727019,0
2020-03-25,81500,81500,76000,77700,278397,-0.021410579345088165,0
2020-03-26,78600,78700,75600,76800,153594,-0.01158301158301156,0
2020-03-27,78600,78700,73700,75700,200768,-0.01432291666666663,1
2020-03-30,74500,77300,73200,76400,95717,0.009247027741083214,1
2020-03-31,76700,78600,75900,77900,182091,0.01963350785340312,1
2020-04-01,77500,81300,76900,78300,284296,0.005134788189987249,1
2020-04-02,80000,81900,78100,81800,319277,0.04469987228607919,0
2020-04-03,81800,81900,79500,80800,146757,-0.012224938875305624,1
2020-04-06,80700,82500,80600,81100,167394,0.003712871287128605,0
2020-04-07,76700,77100,73900,75400,3966218,-0.07028360049321825,0
2020-04-08,76000,76000,74900,74900,574928,-0.006631299734747964,0
2020-04-09,75400,75600,73800,74300,431657,-0.008010680907877155,1
2020-04-10,74600,78400,73500,77500,1166768,0.043068640646029666,0
2020-04-13,78600,79300,75400,75500,852594,-0.02580645161290318,1
2020-04-14,78000,78800,77400,77800,557972,0.030463576158940464,1
2020-04-16,79000,84800,78500,84800,1467261,0.08997429305912585,1
2020-04-17,85700,86400,82500,85000,1153191,0.002358490566037652,0
2020-04-20,82500,83000,81000,81100,674608,-0.045882352941176485,0
2020-04-21,81200,81300,73500,78900,712010,-0.027127003699136898,1
2020-04-22,76900,79500,76600,79500,395008,0.0076045627376426506,1
2020-04-23,80000,81400,79200,80900,364974,0.017610062893081757,0
2020-04-24,80000,80400,78100,78300,304107,-0.03213844252163167,0
2020-04-27,78600,79300,77100,77700,326034,-0.007662835249042099,0
2020-04-28,77900,78500,76600,77000,336398,-0.009009009009009028,0
2020-04-29,77600,77600,76700,76800,225598,-0.0025974025974025983,0
2020-05-04,76000,77500,75200,76700,218937,-0.0013020833333333703,1
2020-05-06,77400,77500,76100,77000,203777,0.003911342894393766,1
2020-05-07,76900,78900,76200,78000,273296,0.01298701298701288,1
2020-05-08,79200,79200,77200,78200,366108,0.002564102564102555,0
2020-05-11,78200,78400,76800,76800,211918,-0.01790281329923271,1
2020-05-12,76900,77400,75900,76900,167775,0.0013020833333332593,1
2020-05-13,76600,78200,76100,77200,214843,0.0039011703511053764,0
2020-05-14,77300,77700,76500,76700,130943,-0.006476683937823857,0
2020-05-15,77300,77300,75500,75900,195047,-0.010430247718383301,0
2020-05-18,76300,76700,75300,75900,124600,0.0,1
2020-05-19,76600,77300,76200,76400,167784,0.006587615283267567,1
2020-05-20,77200,77800,76700,77500,168680,0.014397905759162333,0
2020-05-21,78000,78100,77200,77400,158107,-0.001290322580645209,0
2020-05-22,78200,78500,75500,75900,249229,-0.019379844961240345,1
2020-05-25,76600,77200,76000,76600,142465,0.00922266139657446,1
2020-05-26,77300,78400,76700,78100,258140,0.019582245430809442,1
2020-05-27,79500,80300,78600,78800,421077,0.008962868117797784,0
2020-05-28,79500,79500,76000,76900,248545,-0.024111675126903598,0
2020-05-29,76500,77000,75600,76200,166253,-0.00910273081924573,1
2020-06-01,76900,77300,76500,77100,124044,0.011811023622047223,1
2020-06-02,77200,78400,76700,78100,214942,0.012970168612191912,1
2020-06-03,78900,79000,77600,78200,208320,0.001280409731113874,0
2020-06-04,78800,78800,77400,78200,183425,0.0,0
2020-06-05,78200,79600,77900,78000,224908,-0.002557544757033292,1
2020-06-08,78500,80100,78000,80100,341705,0.026923076923076827,1
2020-06-09,80700,83900,79500,83800,886508,0.046192259675405634,1
2020-06-10,84700,85000,82700,83900,628929,0.0011933174224343368,0
2020-06-11,84500,85200,82100,83600,583484,-0.0035756853396901045,0
2020-06-12,80000,83300,79600,82000,396612,-0.019138755980861233,0
2020-06-15,82000,83300,77000,77000,384136,-0.060975609756097615,1
2020-06-16,79500,80100,78600,79300,248524,0.029870129870129825,1
2020-06-17,78800,83800,78800,82800,519103,0.044136191677175196,0
2020-06-18,83200,83400,81400,81700,193792,-0.01328502415458932,1
2020-06-19,82500,82600,80500,82000,162274,0.003671970624234966,1
2020-06-22,82400,84200,82400,82800,307936,0.009756097560975618,0
2020-06-23,84100,84600,81100,82400,274437,-0.004830917874396157,0
2020-06-24,83000,83500,81200,82000,253551,-0.004854368932038833,0
2020-06-25,81000,82500,80600,80700,226357,-0.01585365853658538,1
