뉴스제목,주가변동
조용병 신한금융지주 회장  세계금융허브에  GIB  거점 투자영토 더 넓힌다,0
주가 뚝 떨어졌네   리츠 투자 해 볼까,0
 마켓인사이트      년 베스트 딜메이커  ECM 이현규 한투 IB 본부장 역대   ,0
믿었던  리츠  왜이래 ,0
부동산 추가 규제 임박  리츠 가 떠오르는 이유,0
주가 하락이 호재  리츠 배당수익률  껑충 ,0
한때 열풍 불더니   맥못추는 리츠 주식,0
롯데쇼핑 칼바람에 거품 걷힌 롯데리츠   투자자  흔들 ,0
해외 리츠 잘 나가는데 국내 리츠는  털썩 ,0
글로벌 금리인하 가속페달  다시  리츠로 ,0
기업공시  월  일 ,0
 재송  일 장 마감 후 주요 종목뉴스,0
코로나에 주저앉은 상장 리츠  옥석 가리기  시작됐다,0
메리츠종금증권  신한알파리츠 지분             확대,0
아파트 누르자 리츠 오피스텔로,0
아파트 누르자  리츠 오피스텔로,0
 e공시 눈에 띄네 코스피   일,0
 한국의 영향력 있는 CEO  남궁훈 신한리츠운용  대표이사  가치경영 부문,0
  일 장 마감 후 주요 종목 뉴스,0
 유가증권시장 공시  한진칼   신한알파리츠   CJ CGV 등,0
 공시 신한알파리츠     억 규모 유상증자 결정,0
신한알파리츠     억 규모 유상증자 결정,0
 부동산 vs 금융  대어급 공모리츠 상장 준비  해외 ETF 사볼까,0
 부동산 vs 금융  상장리츠  자본차익에 배당수익까지 노려볼까,0
 e공시 눈에 띄네  코스피   일,0
 재송   일 장 마감 후 주요 종목 뉴스,0
 언노운 리스크  덮친 재테크 시장 달러  분산펀드   리츠  피난처 ,0
 Money   Riches  배당수익률     대 분리과세 리츠 투자매력 쑥 ,0
부동산도 코로나 리스크  리츠 손실 커져,0
주요 수입원인 임대료 수익 타격 리츠 주가 두 자릿수 급락,0
줄상장 예고에도 얼어붙은 리츠   투자심리 돌릴까,0
리츠  코로나에 공모가 밑  우수수  일각  투자매력도  ,0
정부가  안정적 이라고 콕 찝은 그 리츠  올해만     떨어져,0
상장 리츠  수익률 곤두박질쳤지만 배당 매력은 오히려  업 ,0
분리과세 혜택 적용  공모리츠 살릴수 있을까,0
 마켓인사이트 DWS 자산운용   대어들 잇따라 상장하는 한국 리츠 시장 매력적 ,0
리츠까지 덮친 코로나 모두투어리츠  호텔 임대료 유예 결정,0
장 중 기업공시  월   일 ,0
미래에셋자산운용   TIGER KIS부동산인프라채권TR ETF  상장기념 이벤트,0
미래에셋운용   TIGER KIS부동산인프라채권TR ETF  상장기념 이벤트,0
코로나에 외면받던 리츠  다시 투심 불붙네,0
미래에셋   TIGER KIS부동산인프라채권TR ETF  상장기념 이벤트,0
미래에셋자산운용   TIGER KIS부동산인프라채권TR ETF  상장 기념 이벤트,0
미래에셋자산운용  TIGER KIS부동산인프라채권TR ETF 상장기념 행사,0
미래에셋운용   TIGER KIS부동산인프라채권TR ETF  상장 이벤트,0
미래에셋자산운용   TIGER KIS부동산인프라채권TR ETF  상장 이벤트,0
미래에셋운용  TIGER KIS부동산인프라채권TR ETF 상장 이벤트,0
미래에셋운용  TIGER KIS부동산인프라채권TR ETF  상장기념 이벤트,0
 유가증권 기업공시     일  웅진 등,0
반등하는 리츠   저금리 속 투자 매력 높아 ,0
증시 반등해도 맥못춘  공모 리츠  볕드나,0
이제는 오를 일만 남았나  반등세 타기 시작한 리츠,0
 e공시 눈에 띄네  코스피   일,0
 일 장 마감 후 주요 종목뉴스,0
신한알파리츠  지난해 영업익    억  전년        ,0
신한알파리츠  지난해 영업익 약    억 전년비       ,0
 주식 살 걸 ㅠㅠ  잘 나가던 리츠  코로나 충격에 너덜너덜,0
 재송  일 장 마감 후 주요 종목뉴스,0
  일 코스피 시장 공매도 금액 상위 종목  삼성중공업  카카오 등,0
  일 코스피 시장 공매도 수량 상위 종목  삼성중공업  현대제철 등,0
  일 코스피 시장 공매도 비중 상위 종목  이리츠코크렙  대림통상 등,0
신한알파리츠         상승폭 확대,0
신한알파리츠         VI 발동,0
  일 코스피 시장 공매도 비중 상위 종목  부국증권  NICE 등,0
부동산 추가 규제 리츠 흥행으로 이어질까,0
     대책에 리츠 부각  고배당 세제혜택 기대 ,0
저금리를 이기는 방법 리츠 투자에 대한 거의 모든 것,0
저금리와 부동산 규제 시대엔 리츠  개념과 투자방법,0
돈되는 리츠 고르는  가지 키워드는 ,0
서비스업         이 강세인 가운데  코스피도 상승 흐름         ,0
한국리츠협회  테헤란로 떠나 여의도로 옮기는 까닭은,0
 건강한 연금만들기       세 시대 노후고민  TDF로 해결,0
 마켓인사이트 미매각 부동산 리츠에 넣겠다는 NH리츠운용   투자자 주의,0
     상반기 베스트 애널리스트 부문별 순위표,0
고수익 고위험 좇는 동학개미  리츠 인기 작년만 못하네,0
 이태호의 캐피털마켓 워치   지루해진  리츠,0
신한알파리츠  유상증자 없이 서울 빌딩  개 산다는데   어떻게 ,0
 집보다 리츠  하반기 줄상장에 골라 투자해볼까,0
하반기 리츠 줄줄이 상장  내년 초  리츠 ETF  나올까,0
 마켓인사이트 신한리츠의 진격  한 달새 리츠  개 조성하며 몸집 키우기 본격화,0
 따상  에이프로  급락  이지스밸류리츠 상장 첫날 상반된 성적표,0
서비스업         이 약세인 가운데  코스피도 하락 흐름         ,0
