Date,Open,High,Low,Close,Volume,Change,Price
2020-01-20,7366,7445,7366,7426,65753,-0.0066880684858212636,1
2020-01-21,7376,7515,7336,7515,163338,0.011984917856181054,0
2020-01-22,7406,7505,7396,7486,49949,-0.003858948769128401,0
2020-01-23,7425,7495,7376,7466,64647,-0.0026716537536735085,0
2020-01-28,7227,7455,7207,7406,102261,-0.008036431824270052,1
2020-01-29,7455,7485,7326,7476,69525,0.00945179584120992,0
2020-01-30,7515,7515,7376,7436,72091,-0.005350454788657033,1
2020-01-31,7445,7505,7425,7496,91050,0.008068854222700317,1
2020-02-03,7455,7664,7366,7645,151694,0.0198772678762007,0
2020-02-04,7654,7694,7545,7565,67238,-0.01046435578809679,0
2020-02-05,7575,7575,7455,7525,119689,-0.005287508261731633,0
2020-02-06,7485,7555,7465,7515,51041,-0.0013289036544850141,0
2020-02-07,7545,7545,7475,7515,22616,0.0,1
2020-02-10,7515,7555,7445,7535,44890,0.0026613439787093185,1
2020-02-11,7535,7604,7465,7555,125151,0.002654280026542777,0
2020-02-12,7585,7585,7416,7545,124647,-0.001323626737260053,0
2020-02-13,7545,7555,7445,7486,78354,-0.007819748177601116,0
2020-02-14,7505,7525,7296,7416,167347,-0.00935078813785728,0
2020-02-17,7406,7406,7306,7386,124788,-0.004045307443365731,0
2020-02-18,7346,7406,7286,7287,86716,-0.013403736799350141,1
2020-02-19,7276,7346,7157,7297,141575,0.001372306847811089,0
2020-02-20,7296,7296,7167,7247,69974,-0.006852131012744955,0
2020-02-21,7177,7256,7167,7177,59952,-0.009659169311439175,0
2020-02-24,7127,7207,6968,6969,149929,-0.028981468580186687,1
2020-02-25,6958,7107,6899,7098,118031,0.01851054670684449,0
2020-02-26,6958,7097,6948,7078,106221,-0.0028176951253874316,0
2020-02-27,7087,7087,6968,7048,41138,-0.004238485447866647,0
2020-02-28,7048,7048,6670,6949,237650,-0.014046538024971578,1
2020-03-02,6869,6998,6720,6959,171231,0.0014390559792776259,0
2020-03-03,6968,7078,6948,6959,60899,0.0,1
2020-03-04,6978,7207,6938,7158,324237,0.02859606265268,1
2020-03-05,7197,7445,7157,7406,308116,0.0346465493154513,0
2020-03-06,7356,7435,7256,7396,112144,-0.0013502565487442109,0
2020-03-09,7247,7346,7058,7297,186417,-0.013385613845321775,1
2020-03-10,7167,7326,7078,7327,114045,0.004111278607646929,0
2020-03-11,7366,7455,7266,7307,155217,-0.002729630135116734,0
2020-03-12,7127,7266,7018,7148,239374,-0.021759956206377495,0
2020-03-13,6581,6938,6521,6770,502019,-0.05288192501398992,0
2020-03-16,6809,6889,6372,6631,221952,-0.02053175775480054,1
2020-03-17,6461,6759,6163,6760,221339,0.019454079324385365,0
2020-03-18,6680,6859,6660,6760,198950,0.0,0
2020-03-19,6650,6759,5914,6193,375962,-0.08387573964497042,0
2020-03-20,6213,6342,5924,6163,312064,-0.004844178911674435,0
2020-03-23,5994,5994,5576,5885,210640,-0.0451079019957813,1
2020-03-24,5964,6064,5745,6044,211201,0.0270178419711129,1
2020-03-25,6252,6372,5984,6342,304457,0.04930509596293842,1
2020-03-26,6342,6501,6173,6442,265868,0.01576789656259847,1
2020-03-27,6541,6829,6511,6790,380326,0.054020490530890974,0
2020-03-30,6750,6779,6262,6780,175957,-0.0014727540500736325,1
2020-03-31,6899,6899,6720,6790,111612,0.001474926253687281,0
2020-04-01,6740,6740,6561,6740,211637,-0.007363770250368162,0
2020-04-02,6740,6740,6571,6710,61037,-0.004451038575667643,0
2020-04-03,6650,6720,6561,6710,92081,0.0,1
2020-04-06,6700,6740,6600,6720,100967,0.0014903129657228842,1
2020-04-07,7038,7038,6670,6750,107943,0.0044642857142858094,0
2020-04-08,6630,6700,6570,6630,165437,-0.01777777777777778,1
2020-04-09,6650,6670,6600,6660,66399,0.004524886877828038,1
2020-04-10,6660,6720,6520,6670,94069,0.0015015015015014122,0
2020-04-13,6700,6700,6590,6640,94526,-0.004497751124437732,0
2020-04-14,6680,6680,6510,6590,94298,-0.0075301204819276935,0
2020-04-16,6650,6650,6500,6590,42448,0.0,1
2020-04-17,6630,6660,6550,6650,129989,0.009104704097116834,1
2020-04-20,6700,6700,6600,6660,84499,0.0015037593984963404,0
2020-04-21,6640,6640,6410,6520,122377,-0.02102102102102099,0
2020-04-22,6480,6510,6300,6400,198479,-0.018404907975460127,0
2020-04-23,6450,6450,6300,6380,114412,-0.0031250000000000444,0
2020-04-24,6380,6380,6300,6310,66393,-0.010971786833855801,1
2020-04-27,6380,6380,6300,6350,69185,0.006339144215530945,1
2020-04-28,6380,6410,6320,6370,87228,0.0031496062992126816,1
2020-04-29,6370,6570,6350,6570,103099,0.031397174254317095,0
2020-05-04,6570,6570,6350,6400,84783,-0.025875190258751957,1
2020-05-06,6410,6490,6340,6430,81237,0.004687499999999956,0
2020-05-07,6460,6460,6310,6360,186604,-0.010886469673405896,0
2020-05-08,6370,6390,6290,6330,226840,-0.004716981132075526,1
2020-05-11,6340,6420,6290,6350,110125,0.003159557661927437,0
2020-05-12,6400,6400,6240,6280,139534,-0.011023622047244053,0
