뉴스제목,주가변동
  일  외국인 거래소에서 KODEX    TR          삼성바이오로직스    ,0
 엔씨소프트    주 신고가 경신  L M 흥행  매출처 다변화 시작   KB증권   ,0
 실적  있는 곳에  주가  따라 온다,0
 빅데이터MSI 시장심리 톱   현대차 기아차 엔씨소프트 현대위아 락앤락,0
 Hot Line   엔씨소프트  올해 실적 신작 출시 모멘텀 예정 ,0
미래에셋  엔씨소프트  신작 출시에도 매출 상쇄 효과 없어 ,0
엔씨소프트 올 영업익 전망  작년  배 ,0
 엔씨소프트  실적 서프라이즈 이어진다 ,0
엔씨소프트  또 서프라이즈  게임주 톱픽 미래,0
 엔씨소프트  올해 영업익 전년       급증  미래에셋대우,0
  일  거래소 외국인 순매수상위에 금융업 업종  종목,0
  일  거래소 기관 순매도상위에 전기 전자 업종  종목,0
 우한 폐렴  우려 완화에 외국인 개인  사자 ,0
 엔씨소프트    주 신고가 경신  전일 외국인 대량 순매수,0
인터넷 통신 바이오업종은  바이러스 청정지역 ,0
 이러다 또 남 좋은 일만    클라우드 게임 엔 손 안 대는 게임강국,0
  일  거래소 기관 순매도상위에 전기 전자 업종  종목,0
 엔씨소프트    주 신고가 경신  단기 중기 이평선 정배열로 상승세,0
 위클리 마켓  레몬 켄코아에어로 IPO 수요예측 CJ계열사 카카오 IR,0
 리니지 M   평균 매출   억 추정 이용자    만원 썼다,0
  일  거래소 기관 순매도상위에 전기 전자 업종  종목,0
  일  거래소 외국인 순매도상위에 전기 전자 업종  종목,0
엔씨소프트  리니지 M   하루 평균   억 벌었다,0
신종 코로나 사태에도 게임업 올해 실적 기상도는  맑음 ,0
코로나 악재에도 게임업 기상도  맑음 ,0
코스피   대 하락 출발   장 초반     선 하회,0
  일  외국인 거래소에서 KODEX              호텔신라          ,0
 배당     넷마블은 봐주고       엔씨소프트는 손본다 ,0
CJ제일제당  작년 매출       사상최대,0
엔씨소프트 리니지 M 덕에  훨훨 ,0
 기생충  보다 어려운 게임  수출   게임 빅 의 고민,0
 리니지 M 효과  엔씨소프트  작년  분기 영업익  천   억     증가,0
 시그널INSIDE  텐센트 효과    배그  크래프톤 IPO 탄력받나,0
엔씨  작년 영업익     억  리니지 M  매출 효자 종합 ,0
엔씨  리니지 M 신규 유저 많아 올해 매출 기대 이상  종합 ,0
 컨콜종합  엔씨의  리니지 공화국  모바일 PC 동반 성장   조 클럽 눈앞 ,0
 종합   리니지 M 으로 선방한 엔씨소프트 매출    가  모바일게임 ,0
엔씨  신작효과로 실적개선   올해  조클럽 진입 기대,0
엔씨  신규 이용자 유입 꾸준 매출 안정화 ,0
리니지 M 덕분에 엔씨   분기  어닝 서프라이즈  종합 ,0
 컨콜  엔씨  리니지 M 기세 이어 아이온  블소  출격 종합 ,0
엔씨소프트 연매출   조 클럽  실패 이유는,0
