뉴스제목,주가변동
기타서비스업         이 약세인 가운데  코스닥도 하락 흐름         ,0
 와이엔텍    주 신고가 경신  기관  일 연속 순매수     만주 ,0
 잠정실적 와이엔텍  매출액  영업이익 모두  년 최고 수준 달성  연결 ,0
SK하이닉스  상승흐름 전일대비           기관      만 주 순매수 중,0
꾸준히 성과 낸 실력파 펀드 지수 이긴 중소형 배당주 IT 펀드   개,0
DB하이텍  전일대비       상승중    이 시각 거래량   만    주,0
  일  기관 코스닥에서 셀트리온헬스케어          코미팜             ,0
  일  기관 코스닥에서 씨젠          네패스         등 순매수,0
삼성생명  전일대비       상승    이평선 역배열 상황에서 반등 시도,0
삼성전기  상승출발 후 현재           이 시각 거래량   만    주,0
한국타이어앤테크놀로지  전일대비       상승    외국인        주 순매   ,0
 코로나 무풍  폐기물 업체  경기 방어주로 뜨나,0
한전KPS  전일대비           이 시각 거래량   만    주,0
키움증권  상승흐름 전일대비           외국인      주 순매수,0
 와이엔텍    주 신고가 경신  단기 중기 이평선 정배열로 상승세,0
 fnRASSI 와이엔텍    주 신고가          ,0
 와이엔텍    주 신고가 경신  전일 외국인 대량 순매수,0
 fnRASSI 와이엔텍            주 신고가          ,0
쓰레기 넘치자 폐기물 처리   활활 ,0
와이엔텍  폐기물처리 테마 상승세에        ,0
 강세 토픽  폐기물처리 테마  코엔텍          와이엔텍       ,0
코엔텍          VI 발동,0
코엔텍          상승폭 확대,0
대림산업  전일대비       상승중    외국인        주 순매도,0
CJ  전일대비       상승중    외국인       주 순매수,0
두산퓨얼셀  상승출발 후 현재           최근 주가 상승흐름 유지,0
호텔신라  전일대비       상승중    외국인        주 순매도,0
장마가 반가운 폐기물  여름  핫템  등극,0
 fnRASSI 와이엔텍       오르며 거래량 증가,0
와이엔텍  특별관계자 지분변동,0
한국밸류운용  와이엔텍 지분       산규 취득,0
 와이엔텍    주 신고가 경신  전일 기관 대량 순매수,0
연이은 폭우에  다시 보자  폐기물  ,0
폭우에 증시 테마주 요동  폐기 하수처리  웃고  손보  울고,0
장마가 반가운 폐기물 ,0
 특징주  폭우에 전국  암울   폐기물처리 주는  화색 이라니   ,0
연이은 폭우에 폐기물주 재차 부각,0
장마에 태풍까지 겹치며 폐기물 병충해  상승,0
긴 장마에 관련   주목 ,0
역대급 긴 장마에 하수 폐기물 처리  활짝,0
수익률     태풍 수혜주로 뜬 제넨바이오,0
 태풍 코로나에 M A까지  다시 뛸 준비하는 폐기물 ,0
장마 끝나니 태풍 폐기물 방역  다시  들썩 ,0
버릴수록 폐기물  오른다,0
그린뉴딜에서 찾는 투자 기회 숨겨진 수혜주도  주목 ,0
광주 전남 투자자 지난달  빅히트      억 주식 거래,0
장 중 기업공시   월   일 ,0
와이엔텍     억 신규시설 투자,0
와이엔텍  신규시설 및 시설 증설에    억 투자,0
 바이든 당선 확정에 친환경 에너지 관련주 주목  리서치알음,0
 주식경제  아듀       올해 코스닥 시장 키워드는  양극화        년    ,0
벌크선 운임 급등 해운   물 만났네 ,0
 백신 접종시작  주사기 의료 폐기물 등  백신 관련주  들썩일까,0
장 중 기업공시   월   일 ,0
와이엔텍    억 규모 자사주 취득 결정,0
와이엔텍    억원 규모 자기주식 취득 결정,0
와이엔텍    억 규모 자사주 취득 결정,0
 기업공시  월   일 아이큐어  치매치료용 경피흡수제제 관련 호주 특허 취득 등,0
 표 와이엔텍 등 코스닥 자사주 신청내역  일 ,0
장 중 기업공시  월  일 ,0
와이엔텍     억원 소각로 신규투자  인허가 기관에서 반려 ,0
  폐기물 처리주는 상승한다는 왜 우리는 지지부진할까 ,0
  일  기관 코스닥에서 셀트리온헬스케어          유니테스트           ,1
  일  코스닥 기관 순매수상위에 반도체 업종  종목,1
KCC  전일대비         장중 반등세    외국인     주 순매도,1
 와이엔텍    주 신고가 경신        Q  매출액    억            ,1
삼표시멘트  하락흐름 전일대비            외국인       주 순매수,1
와이엔텍 대표이사 변경,1
쓰레기와 코로나   상관관계는 폐기물 처리업체 사도 될까,1
 머니 매니저의 HOT종목,1
서민경제 흔들리자 라면 소주 중고차 로 쏠린 눈,1
 fnRASSI 와이엔텍        오르며 거래량 증가,1
이도  연평균 EBITDA 성장률       IPO 탄력,1
 와이엔텍    주 신고가 경신  단기 중기 이평선 정배열로 상승세,1
 fnRASSI 와이엔텍    주 신고가          ,1
 fnRASSI 와이엔텍    주 신고가          ,1
 fnRASSI 와이엔텍    주 신고가          ,1
 와이엔텍    주 신고가 경신  단기 중기 이평선 정배열로 상승세,1
쓰레기 더미가 황금알  대체투자로 주목,1
폐기물 처리업체  M A전  불붙은 까닭은 ,1
코엔텍         상승폭 확대,1
KC코트렐         상승폭 확대,1
 살 만한 주식이 없네  운용사가  찜 한 종목에 발 담가 볼까,1
장마철엔 일감 늘어난다 폐기물  와이엔텍  방긋 ,1
역대 최장 장마 온다    폭우 테마주  주의보,1
 주식 초고수는 지금 바이오사업 기대 SK디스커버리 매수 매도 집중,1
 특징주 역대 최장 장마에 폐기물 처리 농약  등  강세 ,1
역대급 장마에 폐기물주      유통주는 울쌍,1
한반도 휩쓰는 장마에 폐기물  상승세,1
 특징주  태풍 바비 돌진   폐기물처리   방역 비료  벌써 들썩,1
 공진단   월  일 공시진단 리뷰   와이엔텍,1
 증시 호황  광주 전남 주식 거래량 대금 급증 시가총액도  ,1
박셀바이오 한 달 새 시총      늘어 KPX생명과학도     ,1
와이엔텍  동종 폐기물 업체 대비 저평가 키움,1
와이엔텍  호남 폐기물  위 업체 동종업계 대비 저평가 키움,1
 백신 D    주사기 의료 폐기물 등 백신 관련주 담아볼까,1
 폭증하는 무역량에 운송할 배가 없다  뜨거운 해운  랠리   포트라이트 ,1
HMM 팬오션 등 급등   해운   변동장 서도 힘찬 고동소리,1
잇단 대형 수주 소식에 조선 해운주 강세,1
횡보장에 자사주 사들이는 기업들,1
 표 와이엔텍 등 코스닥 자사주 신청내역  일 ,1
 특징주 와이엔텍  시멘트 레미콘 대란에 호남레미콘 합병 영업 부각,1
코로나 수혜 부각되는 폐기물 처리   비대면 소비로 쓰레기 급증 ,1
 특징주  해운업   HMM 파업 위기에도  강세 ,1
한전 제외하면 광주 전남 상장사들 올해 장사 잘했다,1
친환경 신사업 새 옷 입고   쓰레기 산업  금광이 되다  심층기획 ,1
