Date,Open,High,Low,Close,Volume,Change,Price
2020-01-20,11200,11300,10650,11000,734793,-0.017857142857142905,1
2020-01-21,11000,11700,10850,11350,771381,0.031818181818181746,1
2020-01-22,11450,11600,11250,11400,356106,0.004405286343612369,1
2020-01-23,11400,11900,11400,11700,428120,0.026315789473684292,0
2020-01-28,11250,11550,11100,11200,374865,-0.042735042735042694,0
2020-01-29,11350,11400,11000,11000,185445,-0.017857142857142905,0
2020-01-30,11050,11500,10700,10900,365575,-0.009090909090909038,0
2020-01-31,10900,11100,10550,10650,212501,-0.022935779816513735,1
2020-02-03,10250,11250,10200,11100,490264,0.04225352112676051,1
2020-02-04,11100,11350,10900,11150,220513,0.0045045045045044585,0
2020-02-05,11100,11250,10800,10900,185564,-0.022421524663677084,1
2020-02-06,11050,11250,10900,11250,225852,0.032110091743119185,0
2020-02-07,11200,11200,10550,10700,487092,-0.04888888888888887,0
2020-02-10,10650,10750,10400,10700,319954,0.0,1
2020-02-11,10750,10850,10400,10850,249737,0.014018691588784993,1
2020-02-12,10950,11850,10750,11650,1038135,0.07373271889400912,0
2020-02-13,11600,11650,11000,11200,507451,-0.03862660944206009,0
2020-02-14,11200,11200,10850,11000,320879,-0.017857142857142905,0
2020-02-17,11100,11150,10700,10850,181315,-0.013636363636363669,0
2020-02-18,10850,11050,10700,10750,139176,-0.009216589861751112,0
2020-02-19,10800,10850,10500,10750,148367,0.0,0
2020-02-20,10900,10900,10600,10650,141839,-0.009302325581395321,0
2020-02-21,10550,10850,10450,10600,200462,-0.0046948356807511304,0
2020-02-24,10250,10650,10100,10300,268970,-0.028301886792452824,0
2020-02-25,10250,10450,10100,10300,438990,0.0,0
2020-02-26,10150,10400,9950,10100,367256,-0.01941747572815533,0
2020-02-27,10150,10200,9750,9760,332063,-0.03366336633663369,0
2020-02-28,9600,9960,9300,9350,461714,-0.04200819672131151,1
2020-03-02,9350,10250,9350,10100,490251,0.0802139037433156,0
2020-03-03,10350,10350,9570,9640,378495,-0.045544554455445585,1
2020-03-04,9550,9820,9550,9710,242907,0.007261410788381717,1
2020-03-05,9780,9870,9650,9820,226594,0.011328527291452062,0
2020-03-06,9680,9760,9460,9680,239743,-0.014256619144602856,0
2020-03-09,9530,9540,9260,9410,288585,-0.02789256198347112,0
2020-03-10,9340,9490,9000,9300,388843,-0.011689691817215686,1
2020-03-11,9370,9530,9220,9360,394077,0.006451612903225712,0
2020-03-12,9320,9340,8370,8800,768582,-0.05982905982905984,0
2020-03-13,8150,8540,7570,8140,509418,-0.07499999999999996,0
2020-03-16,8180,8350,7750,7750,300043,-0.04791154791154795,1
2020-03-17,7330,8530,7330,8360,407575,0.07870967741935475,0
2020-03-18,8400,8950,8310,8310,515188,-0.005980861244019087,0
2020-03-19,8690,8690,7170,7300,484754,-0.12154031287605294,1
2020-03-20,7420,8010,7380,7910,320850,0.08356164383561637,0
2020-03-23,7510,7870,7210,7630,247946,-0.03539823008849563,1
2020-03-24,7870,8430,7680,8430,406340,0.10484927916120568,1
2020-03-25,8540,8730,8270,8570,405789,0.016607354685646447,0
2020-03-26,8590,8870,8420,8550,307355,-0.002333722287047868,1
2020-03-27,8820,8910,8300,8570,258892,0.002339181286549641,1
2020-03-30,8320,8860,8250,8800,187066,0.02683780630105015,1
2020-03-31,9000,9350,8920,9240,560236,0.050000000000000044,0
2020-04-01,9240,9400,9020,9040,356248,-0.02164502164502169,1
2020-04-02,9100,9590,8850,9590,467872,0.06084070796460184,0
2020-04-03,9770,9770,9300,9410,261720,-0.018769551616266922,1
2020-04-06,9440,9840,9440,9800,359918,0.04144527098831041,1
2020-04-07,9880,9990,9640,9980,304222,0.01836734693877551,0
2020-04-08,9950,10200,9780,9870,291612,-0.011022044088176308,0
2020-04-09,9970,9990,9670,9770,272547,-0.010131712259371817,1
2020-04-10,9790,10750,9600,9950,1323637,0.0184237461617196,0
2020-04-13,9920,10250,9780,9890,359647,-0.0060301507537688925,1
2020-04-14,10050,10100,9840,10000,284375,0.011122345803842304,1
2020-04-16,9990,10200,9820,10100,229358,0.010000000000000009,1
2020-04-17,10200,10750,10050,10700,548197,0.05940594059405946,1
2020-04-20,10800,11200,10650,10850,635113,0.014018691588784993,0
2020-04-21,10850,11000,10000,10500,575898,-0.032258064516129004,1
2020-04-22,10200,10650,10150,10550,278514,0.004761904761904745,0
2020-04-23,10650,10700,10400,10450,194360,-0.009478672985781977,0
2020-04-24,10500,10750,10250,10300,318478,-0.014354066985645897,1
2020-04-27,10500,10650,10350,10650,186535,0.03398058252427183,1
2020-04-28,10800,10850,10400,10700,222693,0.0046948356807512415,1
2020-04-29,10600,11050,10550,10800,305166,0.009345794392523255,1
2020-05-04,10900,11700,10800,11400,1029698,0.05555555555555558,1
2020-05-06,11600,12250,11250,12200,1022785,0.07017543859649122,1
2020-05-07,12050,12500,11800,12400,581002,0.016393442622950838,0
2020-05-08,12400,12400,11950,12250,539419,-0.012096774193548376,1
2020-05-11,12350,13050,12250,12500,1051273,0.020408163265306145,1
2020-05-12,12500,13000,12450,12700,528191,0.016000000000000014,0
2020-05-13,12450,12700,12200,12450,390575,-0.019685039370078705,1
2020-05-14,12400,13200,12200,13050,863497,0.04819277108433728,0
2020-05-15,13050,13200,12300,12500,591157,-0.04214559386973182,1
2020-05-18,12700,13150,12500,13000,586005,0.040000000000000036,0
2020-05-19,12850,12900,12450,12700,500372,-0.023076923076923106,1
2020-05-20,12650,12950,12500,12750,335086,0.003937007874015741,0
2020-05-21,12950,12950,12450,12550,287903,-0.015686274509803977,0
2020-05-22,12500,12750,12200,12300,465029,-0.019920318725099584,1
2020-05-25,12400,12700,12250,12450,359636,0.012195121951219523,0
2020-05-26,12650,12650,12300,12450,202844,0.0,0
2020-05-27,12400,12450,11850,12000,385709,-0.03614457831325302,0
2020-05-28,12100,12150,11150,11400,513912,-0.050000000000000044,1
