Date,Open,High,Low,Close,Volume,Change,Price
2020-01-20,38600,38880,36840,36840,72119.0,-0.05392912172573194,0
2020-01-21,37320,37360,36360,36360,65374.0,-0.013029315960912058,1
2020-01-22,36380,36780,36100,36660,51394.0,0.008250825082508184,1
2020-01-23,36600,38860,36360,38660,106492.0,0.05455537370430985,0
2020-01-28,37440,38000,37100,37100,57541.0,-0.04035178479048107,0
2020-01-29,37260,37540,36700,37100,43394.0,0.0,0
2020-01-30,36860,37140,36300,36500,40266.0,-0.016172506738544423,0
2020-01-31,36880,36940,36320,36320,37196.0,-0.004931506849315093,1
2020-02-03,36000,36880,35900,36460,44427.0,0.0038546255506608507,1
2020-02-04,36260,36820,36060,36820,43066.0,0.009873834339001686,0
2020-02-05,36840,37160,36320,36320,31825.0,-0.013579576317218955,1
2020-02-06,36720,37580,36380,37580,35062.0,0.03469162995594721,1
2020-02-07,37220,38280,37080,38000,44541.0,0.011176157530601305,0
2020-02-10,37320,38340,37140,37860,26362.0,-0.0036842105263157343,1
2020-02-11,38200,38560,37860,38300,23674.0,0.011621764395139955,0
2020-02-12,37220,38160,37220,37780,27211.0,-0.013577023498694496,1
2020-02-13,37960,39200,37060,38280,89745.0,0.013234515616728393,0
2020-02-14,37400,38000,36020,36200,170192.0,-0.0543364681295716,0
2020-02-17,36240,36260,35480,35840,68404.0,-0.009944751381215422,1
2020-02-18,36140,36320,35840,35880,32155.0,0.0011160714285713969,1
2020-02-19,36020,36860,35800,36800,85496.0,0.02564102564102555,0
2020-02-20,36700,36840,36240,36240,41963.0,-0.01521739130434785,0
2020-02-21,35800,36380,35800,36200,31438.0,-0.001103752759381904,0
2020-02-24,36000,36100,35220,35580,53960.0,-0.017127071823204387,1
2020-02-25,35400,36060,35200,36020,43832.0,0.01236649803260259,0
2020-02-26,35500,36200,35320,35960,35570.0,-0.0016657412548584105,1
2020-02-27,35620,36300,35620,36040,50378.0,0.0022246941045607205,0
2020-02-28,35380,36020,34600,35440,65089.0,-0.01664816870144281,0
2020-03-02,35860,36160,35400,35420,46506.0,-0.0005643340857788282,0
2020-03-03,35880,36080,35120,35120,40711.0,-0.008469791078486777,1
2020-03-04,35180,36080,35180,35780,43462.0,0.018792710706150295,1
2020-03-05,35760,36260,35620,36040,43808.0,0.007266629401900593,0
2020-03-06,35860,35940,35280,35580,29786.0,-0.012763596004439548,0
2020-03-09,35080,35080,33060,33700,85610.0,-0.05283867341202919,1
2020-03-10,33040,35600,33040,35200,75709.0,0.04451038575667665,0
2020-03-11,34580,34920,33600,33920,41722.0,-0.036363636363636376,0
2020-03-12,34240,34280,31819,32200,85546.0,-0.050707547169811296,1
2020-03-13,32400,34200,31200,32840,239075.0,0.019875776397515477,1
2020-03-16,34000,36000,32960,33040,136186.0,0.006090133982947554,1
2020-03-17,32019,35600,32019,35320,145316.0,0.0690072639225181,0
2020-03-18,35380,36000,34020,34020,98222.0,-0.03680634201585509,0
2020-03-19,35320,35880,31599,32240,192751.0,-0.05232216343327456,1
2020-03-20,32740,33980,32740,33680,105965.0,0.04466501240694787,0
2020-03-23,32400,33000,31380,31520,118521.0,-0.06413301662707838,1
2020-03-24,32300,33160,32100,33140,106340.0,0.05139593908629436,1
2020-03-25,33980,34000,32200,33600,131572.0,0.013880506940253445,0
2020-03-26,33560,33760,32800,32920,106311.0,-0.020238095238095277,1
2020-03-27,33060,34440,32640,34180,107782.0,0.038274605103280734,1
2020-03-30,33760,35060,33200,34980,72930.0,0.023405500292568826,1
2020-03-31,34780,36180,34780,35800,78427.0,0.02344196683819333,0
2020-04-01,35300,37100,35100,35620,93441.0,-0.005027932960893877,1
2020-04-02,36300,38400,36060,38300,127129.0,0.07523862998315556,1
2020-04-03,38300,38600,37560,38400,63319.0,0.0026109660574411553,1
2020-04-06,38400,39620,38400,39600,92391.0,0.03125,1
2020-04-07,39920,40100,39300,39980,64432.0,0.009595959595959602,0
2020-04-08,39580,40260,39040,39040,85458.0,-0.023511755877938967,1
2020-04-09,39780,40240,39220,39600,52956.0,0.014344262295082011,0
2020-04-10,39580,39800,38660,39200,52547.0,-0.010101010101010055,0
2020-04-13,38540,38920,37140,37140,49955.0,-0.052551020408163285,1
2020-04-14,37480,38920,37480,38640,58698.0,0.04038772213247177,1
2020-04-16,38260,40240,38220,39600,72317.0,0.024844720496894457,1
2020-04-17,40080,41380,39980,41360,87358.0,0.04444444444444451,0
2020-04-20,41360,41400,39520,39600,61986.0,-0.04255319148936165,0
2020-04-21,39560,40060,38500,39340,50712.0,-0.006565656565656552,1
2020-04-22,39060,40060,38700,40060,46905.0,0.018301982714794107,1
2020-04-23,39620,41200,39320,41040,53544.0,0.024463305042436323,0
2020-04-24,40780,41380,40220,40220,34438.0,-0.0199805068226121,0
2020-04-27,40320,40840,40000,40140,42056.0,-0.001989060169070078,0
2020-04-28,40140,40160,38920,39800,71003.0,-0.008470353761833582,0
