Date,Open,High,Low,Close,Volume,Change,Price
2020-01-20,289636,292090,285709,289145,31199,0.0,1
2020-01-21,287672,293563,287672,289636,30504,0.0016981099448374337,1
2020-01-22,292581,297490,291109,294055,44023,0.015257081302048059,0
2020-01-23,293072,293072,287672,289145,46125,-0.01669755657955141,0
2020-01-28,286690,290127,279818,281782,47207,-0.02546473222777501,1
2020-01-29,283254,283745,277854,282764,43584,0.003484963553385345,0
2020-01-30,279818,288654,279327,282764,43597,0.0,0
2020-01-31,283254,285709,275890,275891,41995,-0.024306488803383708,0
2020-02-03,272945,277854,270000,275891,43224,0.0,1
2020-02-04,275400,279818,275400,278836,32280,0.0106745055112345,0
2020-02-05,279327,281781,275400,276382,37882,-0.00880087219727721,1
2020-02-06,279818,289145,277363,287182,40587,0.03907635084773964,1
2020-02-07,284236,292090,284236,291109,44670,0.013674255350265785,1
2020-02-10,291109,300436,287181,292582,71267,0.0050599603584911,1
2020-02-11,293563,297981,292581,294545,31987,0.006709230232891938,1
2020-02-12,294545,297490,293072,295527,22603,0.003333955762277352,0
2020-02-13,292581,295527,289636,290618,41590,-0.01661100339393695,0
2020-02-14,288654,290618,286200,287182,36094,-0.01182308046989522,0
2020-02-17,285218,289145,283745,283745,41186,-0.011968020279822578,0
2020-02-18,283254,284727,279327,280309,44290,-0.012109464483955668,1
2020-02-19,283254,284727,279818,280800,37948,0.0017516383705125094,0
2020-02-20,280799,280799,275400,275891,41991,-0.01748219373219373,0
2020-02-21,274909,275400,270490,270982,41224,-0.01779325893196948,0
2020-02-24,261163,264600,256254,256255,64895,-0.0543467831811707,1
2020-02-25,252327,262145,251836,261164,45599,0.019156699381475573,0
2020-02-26,260672,263127,256745,260673,35681,-0.001880044722856189,1
2020-02-27,260672,271963,259690,265091,53509,0.01694843731418283,0
2020-02-28,261163,263618,253309,256255,69407,-0.03333195016051094,1
2020-03-02,260672,263127,255272,261655,31176,0.021072759555911036,0
2020-03-03,263618,269018,261654,261655,50940,0.0,1
2020-03-04,261654,267054,261654,266073,34731,0.01688482925990331,1
2020-03-05,270000,279327,267054,278836,68356,0.04796803884648204,0
2020-03-06,275890,280799,273927,275891,44457,-0.01056176390423047,0
2020-03-09,273436,274418,266072,271964,35226,-0.014233882221602046,1
2020-03-10,271963,274418,265581,273927,46777,0.007217867070641759,0
2020-03-11,273927,277854,263618,265582,44989,-0.030464320786194876,0
2020-03-12,270490,270490,251345,254782,81336,-0.04066540654110595,0
2020-03-13,226800,242018,219927,236127,97335,-0.07321945820348374,1
2020-03-16,240545,247418,236127,236618,52595,0.002079389481084437,0
2020-03-17,224836,238581,224836,235145,53917,-0.006225223778410727,0
2020-03-18,240545,243490,231218,231218,54574,-0.01670033383656888,0
2020-03-19,235145,237109,209618,214036,82505,-0.07431082355179963,1
2020-03-20,215509,223854,210109,222873,73900,0.04128744697153741,0
2020-03-23,212072,218454,209618,211582,51487,-0.05066113885486356,1
2020-03-24,218945,225327,215018,225327,62513,0.06496299307124431,1
2020-03-25,236618,236618,230727,236618,65397,0.05010939656587987,1
2020-03-26,241036,244472,232690,239073,64190,0.010375372964017915,1
2020-03-27,246436,258218,235636,243000,82328,0.016425945213386806,1
2020-03-30,241036,245454,235636,243491,41786,0.0020205761316871573,1
2020-03-31,248400,258218,245454,256745,75733,0.05443322340456125,0
2020-04-01,258218,259200,241036,241036,61523,-0.06118522269177584,1
2020-04-02,239072,243000,230236,241527,52180,0.002037040110191013,1
2020-04-03,240545,249381,240545,244473,42953,0.012197394080164958,1
2020-04-06,248890,255763,248890,253309,42740,0.036143050561820766,1
2020-04-07,262145,262145,253309,257727,59290,0.01744114895246507,1
2020-04-08,256745,262636,254290,258709,44532,0.003810233308888966,0
2020-04-09,260181,260672,253309,256255,58177,-0.009485560997104847,0
2020-04-10,257236,257236,251836,255273,36648,-0.0038321203488712596,0
2020-04-13,254781,258709,252818,253800,35945,-0.005770292980456171,1
2020-04-14,254290,258218,251345,255764,45457,0.00773837667454691,0
2020-04-16,252327,257236,251836,254291,36353,-0.005759215526813799,1
2020-04-17,255763,258218,255272,257236,45628,0.011581219940933751,1
2020-04-20,257727,261163,257236,258218,38418,0.0038175061033447477,0
2020-04-21,260181,263127,246927,253800,65689,-0.01710957408081548,0
2020-04-22,251836,253800,248400,252818,40551,-0.003869188337273455,1
2020-04-23,251836,255272,251345,254782,36399,0.007768434209589614,0
2020-04-24,253309,254781,247909,249382,33198,-0.0211945898846857,1
2020-04-27,250363,252327,248400,250364,27910,0.0039377340786423964,1
2020-04-28,251836,253309,248400,250855,42266,0.00196114457350105,1
2020-04-29,251836,256745,251836,254291,45453,0.013697155727412147,0
2020-05-04,250363,253309,247418,248400,42500,-0.02316637238439423,1
2020-05-06,250854,252818,248400,251836,28328,0.013832528180354187,1
2020-05-07,249872,254781,249872,254291,26029,0.009748407693896066,1
2020-05-08,256745,277854,256254,270982,154534,0.0656373996720292,0
2020-05-11,275890,275890,265581,266073,60670,-0.018115594393723566,1
2020-05-12,266072,277363,264109,273436,91532,0.027672856697222192,1
2020-05-13,272454,279327,270000,273927,69321,0.0017956669933731906,0
2020-05-14,245454,260181,240545,247909,354250,-0.09498150967228491,0
2020-05-15,244963,244963,236618,240545,126947,-0.029704448003097905,0
2020-05-18,245454,245945,238581,239073,73170,-0.006119437111559156,1
2020-05-19,242018,243000,238581,239564,74764,0.002053766004525892,0
2020-05-20,239563,241036,238581,239564,51622,0.0,1
2020-05-21,240545,242018,237600,242018,66274,0.0102436092234226,0
2020-05-22,242018,242018,238090,238582,45730,-0.014197291110578547,0
2020-05-25,240054,240545,235636,236618,37536,-0.008231970559388402,1
2020-05-26,237600,239563,236618,238582,37901,0.008300298371214376,0
2020-05-27,238581,239072,236618,237109,38794,-0.006173977919541329,0
2020-05-28,237109,239072,233672,235145,60759,-0.008283110299482477,0
2020-05-29,234654,235636,232690,232691,58451,-0.010436113887176024,1
2020-06-01,232690,237599,230236,236127,73462,0.0147663639762603,1
2020-06-02,235145,240545,233672,239073,71202,0.012476336886505957,1
2020-06-03,241527,245454,240054,241527,103116,0.010264647199809351,1
2020-06-04,243490,244472,239563,242018,62858,0.0020328990133609004,1
2020-06-05,243000,263618,243000,255764,197246,0.05679742829045775,1
2020-06-08,259690,262636,254290,258218,133338,0.00959478269029268,0
2020-06-09,257236,258709,252818,258218,82025,0.0,1
2020-06-10,258709,261654,256745,259200,54852,0.0038029881727841275,0
2020-06-11,257727,264109,255272,258218,118424,-0.003788580246913531,0
2020-06-12,245454,253800,245454,252818,85613,-0.02091256225359972,0
2020-06-15,250363,270981,246436,251345,281916,-0.0058263256571921,1
2020-06-16,259200,264600,254290,261655,115445,0.041019316079492274,0
2020-06-17,260181,264109,253309,259691,95167,-0.007506067149490758,1
2020-06-18,262636,263618,258218,260673,79763,0.003781417145761745,0
2020-06-19,263127,263127,253309,255273,59516,-0.02071560921154092,0
2020-06-22,255272,258709,251345,252327,47219,-0.011540585960912453,0
2020-06-23,252818,254781,247418,248891,62241,-0.01361725063112551,1
2020-06-24,251345,253799,248399,252327,46187,0.013805240044838962,0
2020-06-25,251836,256745,248400,248400,48941,-0.015563138308623325,1
2020-06-26,249381,252327,246927,249382,45955,0.003953301127214148,0
2020-06-29,246436,246927,240545,240545,69473,-0.03543559679527797,0
2020-06-30,242018,242018,238581,239073,46388,-0.006119437111559156,1
2020-07-01,240545,241036,237600,240055,28509,0.004107532009051562,1
2020-07-02,241527,247418,240545,241036,46634,0.004086563495865558,1
2020-07-03,242018,243981,240054,243982,30467,0.012222240661146078,0
2020-07-06,243981,244963,240545,241036,45624,-0.012074661245501717,0
2020-07-07,241036,243490,239563,240055,45542,-0.004069931462520104,0
2020-07-08,238581,240545,237109,239073,45638,-0.004090729207889887,0
2020-07-09,239072,239563,234654,236618,84987,-0.010268830022629016,0
2020-07-10,237109,238090,233181,233673,48616,-0.012446221335654983,0
2020-07-13,235145,235145,232200,232691,43860,-0.004202453856457566,1
2020-07-14,231709,236618,231709,234164,40018,0.006330283509031309,0
2020-07-15,235145,236127,232690,233182,42194,-0.004193642062827796,1
2020-07-16,236618,247418,234163,246436,141164,0.05683972176240015,0
2020-07-17,251836,251836,242018,244473,58778,-0.007965556980311317,0
2020-07-20,244472,248400,240545,243982,42633,-0.0020084017457960845,0
2020-07-21,243981,246436,241527,241527,62305,-0.01006221770458482,0
2020-07-22,241527,243000,239072,240545,40859,-0.00406579802672169,1
2020-07-23,240545,251345,238581,246927,99128,0.026531418237751847,0
2020-07-24,246927,252818,243490,245455,89855,-0.00596127600464913,0
2020-07-27,245454,247418,242509,242509,38484,-0.012002199995925888,1
2020-07-28,243000,300927,243000,279327,1627889,0.15182116952360536,0
2020-07-29,268036,269509,257236,258709,236540,-0.0738131294146287,0
2020-07-30,257236,257236,251345,253309,110774,-0.020872872609766224,1
2020-07-31,252818,262145,252818,258709,107482,0.02131783710803803,1
2020-08-03,263127,293563,261654,266564,630691,0.030362298953650724,1
2020-08-04,268036,279327,261654,272455,265243,0.022099758406986636,1
2020-08-05,353945,353945,351490,353945,514265,0.29909526343799886,0
2020-08-06,371618,422181,345109,349036,2818634,-0.013869386486601076,0
2020-08-07,357381,370145,336763,347073,600912,-0.005624061701371752,0
2020-08-10,339218,340200,314672,318600,667247,-0.08203749643446767,0
2020-08-11,315163,324490,311727,313691,240139,-0.01540803515379785,1
2020-08-12,314672,321054,310254,315655,154253,0.006260938311905662,0
2020-08-13,316145,317618,307309,307800,174411,-0.024884763428426604,0
2020-08-14,307309,308781,297490,300927,126477,-0.022329434697855755,0
2020-08-18,304363,305836,284236,286200,176877,-0.04893877917235745,1
2020-08-19,286200,296509,286200,291109,93254,0.017152341020265638,1
2020-08-20,294545,305345,290618,293564,180564,0.008433267264151834,0
2020-08-21,295527,297490,281290,284236,122597,-0.03177501328500765,1
2020-08-24,284236,289636,279327,288655,69272,0.015546939866871279,1
2020-08-25,288654,301418,285709,301418,139237,0.044215412863106485,1
2020-08-26,301418,311727,295527,311236,142210,0.03257270634135989,0
2020-08-27,307799,309272,298472,298473,103383,-0.04100746700253188,1
2020-08-28,302400,312218,300927,307800,124155,0.03124905770371189,0
2020-08-31,314181,316145,300436,300927,136640,-0.022329434697855755,0
2020-09-01,300927,302890,295036,298964,67783,-0.0065231767172769795,1
2020-09-02,313200,319090,300436,303382,153008,0.014777698987169074,0
2020-09-03,306327,307800,299454,300436,84350,-0.009710529958929626,0
2020-09-04,291109,295527,290618,294545,71537,-0.01960816946038424,1
2020-09-07,296509,297000,292090,296509,52317,0.006667911524554926,1
2020-09-08,296509,304363,295527,298964,73201,0.008279681223841484,0
2020-09-09,289636,293072,288654,289145,87266,-0.03284341927456147,0
2020-09-10,290127,290618,281781,286200,91407,-0.010185201196631466,1
2020-09-11,284727,287672,282272,287673,41523,0.005146750524108956,0
2020-09-14,290127,290127,286200,287673,32206,0.0,0
2020-09-15,284236,288654,282763,286691,38183,-0.003413598078373714,1
2020-09-16,284727,291600,284727,287182,45749,0.0017126453219669102,0
2020-09-17,287672,289636,283254,283255,47429,-0.013674255350265674,0
2020-09-18,283254,284236,280309,283255,39836,0.0,1
2020-09-21,282272,289636,281781,289636,65696,0.02252740463539915,0
2020-09-22,288163,290127,279818,280309,56621,-0.032202488640914795,0
2020-09-23,280309,281781,269999,270982,83710,-0.033273994056559064,0
2020-09-24,266563,267054,255272,257236,80286,-0.05072661652803512,0
2020-09-25,259690,263127,255763,257236,47222,0.0,1
2020-09-28,259690,266072,258218,262145,34776,0.01908364303596688,1
2020-09-29,270490,271472,265581,268527,48690,0.024345305079249924,0
2020-10-05,270490,270490,264600,268527,24295,0.0,1
2020-10-06,269509,290618,269509,280800,98198,0.045704901183121205,1
2020-10-07,279818,283745,275890,282764,31546,0.006994301994301955,0
2020-10-08,290127,291599,280309,282273,61125,-0.0017364303801049585,0
2020-10-12,284236,284727,279818,280800,27601,-0.005218352446036301,0
2020-10-13,280800,281290,272945,272945,38301,-0.027973646723646772,0
2020-10-14,272945,273927,269018,269509,34651,-0.012588616754291126,0
2020-10-15,270000,270000,261163,262636,40406,-0.02550193128986411,1
2020-10-16,264600,279818,264109,276873,68431,0.05420810551485711,0
2020-10-19,276381,281290,273436,273436,44482,-0.012413633687647363,0
2020-10-20,271963,272945,264109,267055,42087,-0.023336356588013252,1
2020-10-21,267054,271472,265581,268036,27976,0.003673400610361144,0
2020-10-22,266563,266563,262636,266073,33935,-0.007323643092718934,1
2020-10-23,266072,282272,263127,278345,68407,0.04612268061772529,0
2020-10-26,274418,275890,268036,270491,49375,-0.028216781332519036,0
2020-10-27,268036,272945,265090,266073,41807,-0.016333260626046675,1
2020-10-28,264109,269018,264109,268527,22665,0.009223032776719098,0
2020-10-29,262636,266563,262636,265091,34736,-0.012795733762340444,0
2020-10-30,264109,265090,257727,257727,45051,-0.027779139993436175,1
2020-11-02,259200,271963,259200,264109,52951,0.02476263643312504,1
2020-11-03,265581,279327,265090,277364,92186,0.05018761193295185,1
2020-11-04,279818,279818,274418,277855,50878,0.001770236944953263,1
2020-11-05,278836,284236,278345,281291,58881,0.01236616220690645,0
2020-11-06,281781,282763,276381,279818,39482,-0.005236569957801751,1
2020-11-09,282272,284727,279818,280800,45565,0.0035094239827315743,1
2020-11-10,281781,284727,277854,283745,58853,0.010487891737891664,1
2020-11-11,285218,285218,279818,284236,46141,0.0017304269678761752,0
2020-11-12,284727,285218,279818,282764,47792,-0.005178795085773791,0
2020-11-13,279818,282272,276381,278836,31343,-0.013891443040839668,0
2020-11-16,278345,282272,276872,278345,32117,-0.0017608917069531493,1
2020-11-17,278836,286690,278836,285709,70299,0.026456376080044475,1
2020-11-18,284236,307309,283745,306818,283849,0.07388286683303646,1
2020-11-19,307800,324000,300927,321545,272999,0.047999139555045645,0
2020-11-20,321545,325963,315654,321545,109402,0.0,0
2020-11-23,321545,323018,310254,320564,110899,-0.0030508948980702,0
2020-11-24,320563,320563,308781,309273,95644,-0.03522229570382196,1
2020-11-25,307800,321054,306327,319582,161534,0.03333300999440625,1
2020-11-26,342654,353945,322036,323509,656927,0.012287926103472735,1
2020-11-27,324981,350509,324981,350018,444284,0.08194207889115912,1
2020-11-30,358363,365727,347563,351982,344391,0.0056111399985143695,1
2020-12-01,357872,365727,339709,365236,244075,0.03765533464779458,1
2020-12-02,360818,368181,357872,366218,108225,0.002688672529542524,0
2020-12-03,365236,365236,349527,350018,185258,-0.04423594689501886,1
2020-12-04,351981,368672,344127,363273,276711,0.03786948099812015,1
2020-12-07,364745,377018,360818,368182,286361,0.013513253118178303,0
2020-12-08,375545,388309,352472,353455,394297,-0.03999923950654838,0
2020-12-09,357872,360818,344618,352964,123343,-0.001389144304083989,0
2020-12-10,348545,356890,340690,345600,197684,-0.020863317505467993,1
2020-12-11,348545,354436,343636,348545,149335,0.008521412037036935,0
2020-12-14,345600,348054,340199,342655,86480,-0.016898822246768752,0
2020-12-15,342654,345600,330381,336764,165708,-0.017192219579460377,0
2020-12-16,339709,341672,336763,336764,62728,0.0,1
2020-12-17,336763,342654,333818,342164,59068,0.01603496810823013,1
2020-12-18,342163,356400,341181,347073,156820,0.01434692135934812,1
2020-12-21,348545,352472,340690,349036,95327,0.005655870666977814,0
2020-12-22,350018,350018,331363,331855,103708,-0.049224148798404754,0
2020-12-23,331854,333818,318109,323018,111728,-0.026629100058760624,1
2020-12-24,325963,327927,319581,325964,56572,0.009120234785677583,0
2020-12-28,324490,330872,322036,324000,71426,-0.006025205237388143,1
2020-12-29,324000,349500,324000,348500,169190,0.07561728395061729,1
2020-12-30,360500,372500,358000,366500,271094,0.05164992826398862,0
2021-01-04,350000,357500,344500,357000,177992,-0.02592087312414737,1
2021-01-05,357500,367000,350000,362000,167221,0.014005602240896309,1
2021-01-06,408000,420500,376000,378000,636828,0.04419889502762442,1
2021-01-07,378000,397000,371000,394000,246771,0.042328042328042326,0
2021-01-08,388500,390000,379500,381000,152334,-0.032994923857868064,0
2021-01-11,381000,381500,365000,369500,139857,-0.030183727034120755,0
2021-01-12,365000,373000,354500,360000,118769,-0.025710419485791558,1
2021-01-13,370500,375500,364500,367000,96960,0.019444444444444375,1
2021-01-14,370500,377000,359000,375000,103722,0.021798365122615904,0
2021-01-15,373500,375000,360500,360500,69437,-0.03866666666666663,0
2021-01-18,355500,357000,345500,345500,68405,-0.04160887656033285,1
2021-01-19,344500,355000,341500,350000,58325,0.013024602026049159,1
2021-01-20,349000,375000,348000,363000,97948,0.037142857142857144,1
2021-01-21,367000,374500,361500,368500,92461,0.015151515151515138,0
2021-01-22,365500,370000,360000,362000,51556,-0.01763907734056991,1
2021-01-25,370000,384000,370000,383000,167129,0.058011049723756924,0
2021-01-26,384000,388500,377000,378000,133436,-0.01305483028720622,1
2021-01-27,376500,427000,376500,405000,713054,0.0714285714285714,1
2021-01-28,402500,418500,388500,418500,235203,0.03333333333333344,0
2021-01-29,406000,417500,382500,383000,245144,-0.08482676224611707,0
2021-02-01,383000,388000,371500,379000,133194,-0.010443864229765065,0
2021-02-02,387000,391500,377500,378000,109572,-0.0026385224274406704,0
2021-02-03,378000,380000,364500,373000,158309,-0.013227513227513255,0
2021-02-04,373000,383000,368000,371500,87643,-0.004021447721179627,0
2021-02-05,374500,376500,366500,369000,59204,-0.006729475100942128,0
2021-02-08,372000,373000,366000,368000,58467,-0.0027100271002710175,0
2021-02-09,369000,373000,366000,368000,53281,0.0,0
2021-02-10,369000,371000,351500,360000,125559,-0.021739130434782594,1
2021-02-15,362000,373500,357500,371500,59526,0.03194444444444455,0
2021-02-16,373500,374000,363500,364000,67462,-0.020188425302826385,0
2021-02-17,364500,365000,355000,358000,52492,-0.016483516483516536,0
2021-02-18,355500,361000,351000,351000,45077,-0.019553072625698276,0
2021-02-19,347500,353500,336000,345000,77743,-0.017094017094017144,0
2021-02-22,348000,348000,341000,341000,45083,-0.011594202898550732,0
2021-02-23,341000,344000,336000,336000,52355,-0.014662756598240456,0
2021-02-24,338500,353500,336000,336000,106210,0.0,1
2021-02-25,340500,352500,336500,350000,68808,0.04166666666666674,0
2021-02-26,341000,348000,338500,343000,71404,-0.020000000000000018,0
2021-03-02,315000,324500,310000,319000,246189,-0.06997084548104959,0
2021-03-03,315000,316500,310500,314500,90990,-0.014106583072100332,1
2021-03-04,311500,320000,302000,318500,110255,0.012718600953895098,0
2021-03-05,313500,316000,310000,312000,51084,-0.020408163265306145,0
2021-03-08,314000,314500,304500,304500,39630,-0.024038461538461564,1
2021-03-09,307000,309000,295000,305000,50857,0.0016420361247948545,1
2021-03-10,308500,312000,302000,305500,29829,0.0016393442622950616,0
2021-03-11,305500,309000,302000,305500,47961,0.0,1
2021-03-12,319500,324500,315000,319000,66747,0.04418985270049092,1
2021-03-15,319500,325000,315000,322500,45654,0.01097178683385569,1
2021-03-16,326000,335000,324500,334000,59295,0.0356589147286821,1
2021-03-17,340000,345000,333500,335000,49836,0.0029940119760478723,1
2021-03-18,336000,341500,333500,335500,53640,0.0014925373134329067,1
2021-03-19,351500,353000,335000,336000,137055,0.0014903129657228842,0
2021-03-22,337000,337000,323000,324500,45928,-0.034226190476190466,0
2021-03-23,325500,328500,318500,318500,38701,-0.018489984591679498,0
2021-03-24,318000,324500,315000,316500,24749,-0.006279434850863463,1
2021-03-25,315000,323000,313000,318500,20922,0.006319115323854652,0
2021-03-26,318500,321000,317000,317000,21492,-0.004709576138147598,0
2021-03-29,320000,320000,310000,316500,37508,-0.001577287066246047,1
2021-03-30,318000,322500,314500,318500,17843,0.006319115323854652,0
2021-03-31,317500,320500,315000,316500,23096,-0.006279434850863463,1
2021-04-01,316500,320000,315500,320000,24920,0.011058451816745585,0
2021-04-02,319500,319500,315500,317000,22372,-0.009375000000000022,0
2021-04-05,316500,317000,311500,313000,30661,-0.012618296529968487,0
2021-04-06,313000,316000,312000,313000,25810,0.0,1
2021-04-07,314500,331000,312000,329000,60348,0.051118210862619806,0
2021-04-08,329000,329500,321500,327500,30769,-0.00455927051671734,1
2021-04-09,327500,337000,326000,329500,37470,0.006106870229007688,1
2021-04-12,330000,342000,326500,342000,79134,0.03793626707132014,1
2021-04-13,342500,351000,340000,346500,87895,0.013157894736842035,0
2021-04-14,346500,347000,338000,342000,51665,-0.012987012987012991,1
2021-04-15,342000,368000,335500,358000,264673,0.04678362573099415,0
2021-04-16,361000,361500,342500,353500,142759,-0.012569832402234637,1
2021-04-19,356000,362000,347500,356000,118624,0.007072135785006983,0
2021-04-20,353000,358000,350500,356000,55397,0.0,1
2021-04-21,355000,368000,353500,358500,141842,0.0070224719101124045,0
2021-04-22,361500,362000,347000,347000,83249,-0.03207810320781035,1
2021-04-23,344000,378000,340500,367500,243269,0.05907780979827093,0
2021-04-26,365000,365500,357000,358000,104758,-0.025850340136054473,0
2021-04-27,360000,362000,347500,347500,65335,-0.029329608938547524,0
2021-04-28,352000,355500,337500,338500,74767,-0.025899280575539585,1
2021-04-29,345000,351500,340000,341000,68330,0.007385524372230501,0
2021-04-30,344500,350500,338000,338000,53946,-0.008797653958944274,0
2021-05-03,335500,337500,325000,325500,45358,-0.03698224852071008,1
2021-05-04,322000,334500,320000,332500,44791,0.021505376344086002,1
2021-05-06,335000,341500,333500,339000,52767,0.019548872180451093,1
2021-05-07,342000,349000,337000,340500,52255,0.004424778761061843,1
2021-05-10,342500,353500,339500,351000,65954,0.03083700440528636,0
2021-05-11,351500,358500,346500,346500,63038,-0.012820512820512775,0
2021-05-12,346000,351000,338000,343000,56109,-0.010101010101010055,1
2021-05-13,342000,350000,336000,347500,68611,0.013119533527696792,0
2021-05-14,341500,342500,328000,329000,130105,-0.05323741007194249,1
2021-05-17,330500,340000,328000,340000,72760,0.033434650455927084,1
2021-05-18,339500,363500,339500,353500,228585,0.03970588235294126,0
2021-05-20,357000,359000,351000,352500,59735,-0.0028288543140028155,0
2021-05-21,354500,355000,345000,345500,41563,-0.019858156028368823,0
2021-05-24,341500,342000,332500,333500,65944,-0.0347322720694645,0
2021-05-25,334000,336000,329500,331500,62169,-0.005997001499250421,1
2021-05-26,331000,334000,329000,334000,38838,0.007541478129713397,1
2021-05-27,335000,354500,333000,353000,127862,0.05688622754491024,0
2021-05-28,352000,356500,347000,352500,58663,-0.0014164305949008194,1
2021-05-31,356500,362000,350500,355500,69163,0.008510638297872353,0
2021-06-01,356000,360000,352000,352000,42425,-0.009845288326300938,0
2021-06-02,353500,354000,343500,350500,55726,-0.0042613636363636465,0
2021-06-03,348000,351500,345500,347000,33842,-0.0099857346647646,0
2021-06-04,346000,351500,331000,335000,123087,-0.03458213256484155,0
2021-06-07,338000,342000,330000,332000,62852,-0.008955223880596996,1
2021-06-08,333500,336500,332000,333500,35895,0.004518072289156683,0
2021-06-09,334500,335500,328000,328000,50473,-0.016491754122938573,0
2021-06-10,328500,331000,322500,328000,58734,0.0,0
2021-06-11,329000,330000,325500,326000,48823,-0.0060975609756097615,1
2021-06-14,328000,331500,326500,331000,43862,0.015337423312883347,0
2021-06-15,331000,331500,326000,328500,29956,-0.007552870090634434,0
2021-06-16,329000,331000,326000,327500,32566,-0.0030441400304414,0
2021-06-17,327500,329000,318000,322000,62218,-0.016793893129770976,1
2021-06-18,323500,325500,321000,325500,29115,0.010869565217391353,0
